month,expected,present,missing,coverage_pct
2019-12,7725,7557,168,97.8252427184466
2020-01,29805,29774,31,99.89599060560309
2020-02,27075,27075,0,100.0
2020-03,29295,26457,2838,90.31233998975935
2020-04,28665,28656,9,99.96860282574568
2020-05,28440,28440,0,100.0
2020-06,29295,28976,319,98.9110769755931
2020-07,31170,31164,6,99.98075072184793
2020-08,28665,28665,0,100.0
2020-09,29070,28969,101,99.65256277949777
2020-10,30030,29068,962,96.7965367965368
2020-11,28215,28204,11,99.96101364522417
2020-12,28440,28384,56,99.80309423347398
2021-01,27075,27075,0,100.0
2021-02,27075,27074,1,99.99630655586334
2021-03,30660,30588,72,99.76516634050881
2021-04,29580,29567,13,99.95605138607166
2021-05,28440,28428,12,99.957805907173
2021-06,29340,29123,217,99.26039536468984
2021-07,30120,30118,2,99.9933598937583
2021-08,30360,30345,15,99.9505928853755
2021-09,29370,29183,187,99.3632958801498
2021-10,28980,28869,111,99.61697722567288
2021-11,29880,29880,0,100.0
2021-12,29670,29601,69,99.76744186046511
2022-01,28740,28740,0,100.0
2022-02,27360,27359,1,99.99634502923976
2022-03,30990,30938,52,99.83220393675379
2022-04,27600,27600,0,100.0
2022-05,30120,30119,1,99.99667994687915
2022-06,29370,29359,11,99.9625468164794
2022-07,28740,28738,2,99.99304105775921
2022-08,31740,31738,2,99.99369880277253
2022-09,29395,29321,74,99.74825650620853
2022-10,28980,28980,0,100.0
2022-11,29880,29247,633,97.88152610441767
2022-12,28290,28252,38,99.86567691763874
2023-01,28740,28740,0,100.0
2023-02,27360,27360,0,100.0
2023-03,30990,30934,56,99.81929654727331
2023-04,27135,26838,297,98.90547263681592
2023-05,31500,31500,0,100.0
2023-06,29370,29348,22,99.9250936329588
2023-07,28500,28499,1,99.99649122807017
2023-08,31740,31739,1,99.99684940138626
2023-09,27990,27970,20,99.9285459092533
2023-10,30360,30357,3,99.9901185770751
2023-11,29880,29880,0,100.0
2023-12,26910,26862,48,99.8216276477146
2024-01,30120,30120,0,100.0
2024-02,28740,28731,9,99.9686847599165
2024-03,27765,26843,922,96.67927246533405
2024-04,30360,30335,25,99.91765480895916
2024-05,31500,31500,0,100.0
2024-06,26610,26547,63,99.76324689966178
2024-07,31260,31242,18,99.94241842610364
2024-08,30360,30350,10,99.96706192358366
2024-09,28440,27966,474,98.33333333333333
2024-10,31740,31738,2,99.99369880277253
2024-11,28500,28499,1,99.99649122807017
2024-12,38130,37533,597,98.43430369787569
2025-01,29670,29652,18,99.93933265925178
2025-02,27360,27360,0,100.0
2025-03,38340,36473,1867,95.13041210224308
2025-04,29895,28976,919,96.92590734236494
2025-05,30120,30120,0,100.0
2025-06,20460,19985,475,97.67839687194525
