year,transition,transition_trading_date,session_open_utc,session_close_utc,session_open_ny,session_close_ny_time,session_utc_offset_hours,expected_minutes_in_session,observed_gap_after_close_before_ny_time,observed_gap_after_close_minutes
2020,spring,2020-03-09,2020-03-08 22:00:00+00:00,2020-03-09 21:00:00+00:00,2020-03-08 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
2020,fall,2020-11-02,2020-11-01 23:00:00+00:00,2020-11-02 22:00:00+00:00,2020-11-01 18:00:00-05:00,17:00:00,-5.0,1380,17:00:00,61.0
2021,spring,2021-03-15,2021-03-14 22:00:00+00:00,2021-03-15 21:00:00+00:00,2021-03-14 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
2021,fall,2021-11-08,2021-11-07 23:00:00+00:00,2021-11-08 22:00:00+00:00,2021-11-07 18:00:00-05:00,17:00:00,-5.0,1380,17:00:00,61.0
2022,spring,2022-03-14,2022-03-13 22:00:00+00:00,2022-03-14 21:00:00+00:00,2022-03-13 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
2022,fall,2022-11-07,2022-11-06 23:00:00+00:00,2022-11-07 22:00:00+00:00,2022-11-06 18:00:00-05:00,17:00:00,-5.0,1380,17:00:00,61.0
2023,spring,2023-03-13,2023-03-12 22:00:00+00:00,2023-03-13 21:00:00+00:00,2023-03-12 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
2023,fall,2023-11-06,2023-11-05 23:00:00+00:00,2023-11-06 22:00:00+00:00,2023-11-05 18:00:00-05:00,17:00:00,-5.0,1380,17:00:00,61.0
2024,spring,2024-03-11,2024-03-10 22:00:00+00:00,2024-03-11 21:00:00+00:00,2024-03-10 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
2024,fall,2024-11-04,2024-11-03 23:00:00+00:00,2024-11-04 22:00:00+00:00,2024-11-03 18:00:00-05:00,17:00:00,-5.0,1380,17:00:00,61.0
2025,spring,2025-03-10,2025-03-09 22:00:00+00:00,2025-03-10 21:00:00+00:00,2025-03-09 18:00:00-04:00,17:00:00,-4.0,1380,17:00:00,61.0
