source_file,before_ts_utc,after_ts_utc,gap_minutes,before_ny,before_ny_time,after_ny,after_ny_time,before_date,after_date,cause,confidence,cause_detail,expected_ts_inicio,expected_ts_fin
00_mnq_03_20.Last.txt,2019-12-23 04:16:00+00:00,2019-12-23 04:18:00+00:00,2.0,2019-12-22 23:16:00-05:00,23:16:00,2019-12-22 23:18:00-05:00,23:18:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:17:00+00:00,2019-12-23 04:17:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:21:00+00:00,2019-12-23 04:23:00+00:00,2.0,2019-12-22 23:21:00-05:00,23:21:00,2019-12-22 23:23:00-05:00,23:23:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:22:00+00:00,2019-12-23 04:22:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:25:00+00:00,2019-12-23 04:28:00+00:00,3.0,2019-12-22 23:25:00-05:00,23:25:00,2019-12-22 23:28:00-05:00,23:28:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:26:00+00:00,2019-12-23 04:27:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:35:00+00:00,2019-12-23 04:37:00+00:00,2.0,2019-12-22 23:35:00-05:00,23:35:00,2019-12-22 23:37:00-05:00,23:37:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:36:00+00:00,2019-12-23 04:36:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:41:00+00:00,2019-12-23 04:43:00+00:00,2.0,2019-12-22 23:41:00-05:00,23:41:00,2019-12-22 23:43:00-05:00,23:43:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:42:00+00:00,2019-12-23 04:42:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:43:00+00:00,2019-12-23 04:45:00+00:00,2.0,2019-12-22 23:43:00-05:00,23:43:00,2019-12-22 23:45:00-05:00,23:45:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:44:00+00:00,2019-12-23 04:44:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:47:00+00:00,2019-12-23 04:49:00+00:00,2.0,2019-12-22 23:47:00-05:00,23:47:00,2019-12-22 23:49:00-05:00,23:49:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:48:00+00:00,2019-12-23 04:48:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:49:00+00:00,2019-12-23 04:51:00+00:00,2.0,2019-12-22 23:49:00-05:00,23:49:00,2019-12-22 23:51:00-05:00,23:51:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:50:00+00:00,2019-12-23 04:50:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:53:00+00:00,2019-12-23 04:55:00+00:00,2.0,2019-12-22 23:53:00-05:00,23:53:00,2019-12-22 23:55:00-05:00,23:55:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:54:00+00:00,2019-12-23 04:54:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 04:58:00+00:00,2019-12-23 05:00:00+00:00,2.0,2019-12-22 23:58:00-05:00,23:58:00,2019-12-23 00:00:00-05:00,00:00:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 04:59:00+00:00,2019-12-23 04:59:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 05:07:00+00:00,2019-12-23 05:09:00+00:00,2.0,2019-12-23 00:07:00-05:00,00:07:00,2019-12-23 00:09:00-05:00,00:09:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 05:08:00+00:00,2019-12-23 05:08:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 05:14:00+00:00,2019-12-23 05:16:00+00:00,2.0,2019-12-23 00:14:00-05:00,00:14:00,2019-12-23 00:16:00-05:00,00:16:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 05:15:00+00:00,2019-12-23 05:15:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 05:47:00+00:00,2019-12-23 05:49:00+00:00,2.0,2019-12-23 00:47:00-05:00,00:47:00,2019-12-23 00:49:00-05:00,00:49:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 05:48:00+00:00,2019-12-23 05:48:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 06:03:00+00:00,2019-12-23 06:05:00+00:00,2.0,2019-12-23 01:03:00-05:00,01:03:00,2019-12-23 01:05:00-05:00,01:05:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 06:04:00+00:00,2019-12-23 06:04:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 09:39:00+00:00,2019-12-23 09:41:00+00:00,2.0,2019-12-23 04:39:00-05:00,04:39:00,2019-12-23 04:41:00-05:00,04:41:00,2019-12-23,2019-12-23,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 09:40:00+00:00,2019-12-23 09:40:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 21:15:00+00:00,2019-12-23 21:31:00+00:00,16.0,2019-12-23 16:15:00-05:00,16:15:00,2019-12-23 16:31:00-05:00,16:31:00,2019-12-23,2019-12-23,SECONDARY_MAINTENANCE_BREAK,ALTA,"coincide exactamente con el break intradiario declarado por CME_Equity para esta sesion (2019-12-23 21:15:00+00:00 -> 2019-12-23 21:30:00+00:00 UTC), vigente hasta la fecha de negociacion 2021-06-25 (eliminado por CME con efecto 2021-06-28, ver session_calendar.py)",2019-12-23 21:16:00+00:00,2019-12-23 21:30:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 22:00:00+00:00,2019-12-23 23:01:00+00:00,61.0,2019-12-23 17:00:00-05:00,17:00:00,2019-12-23 18:01:00-05:00,18:01:00,2019-12-23,2019-12-24,DAILY_MAINTENANCE,ALTA,"transicion normal cierre->reapertura entre 2019-12-23 y 2019-12-24 (jornadas consecutivas, sin feriado ni fin de semana en medio)",2019-12-23 22:01:00+00:00,2019-12-23 23:00:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 23:29:00+00:00,2019-12-23 23:31:00+00:00,2.0,2019-12-23 18:29:00-05:00,18:29:00,2019-12-23 18:31:00-05:00,18:31:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 23:30:00+00:00,2019-12-23 23:30:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 23:34:00+00:00,2019-12-23 23:36:00+00:00,2.0,2019-12-23 18:34:00-05:00,18:34:00,2019-12-23 18:36:00-05:00,18:36:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 23:35:00+00:00,2019-12-23 23:35:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 23:51:00+00:00,2019-12-23 23:53:00+00:00,2.0,2019-12-23 18:51:00-05:00,18:51:00,2019-12-23 18:53:00-05:00,18:53:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 23:52:00+00:00,2019-12-23 23:52:00+00:00
00_mnq_03_20.Last.txt,2019-12-23 23:55:00+00:00,2019-12-23 23:57:00+00:00,2.0,2019-12-23 18:55:00-05:00,18:55:00,2019-12-23 18:57:00-05:00,18:57:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-23 23:56:00+00:00,2019-12-23 23:56:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 03:11:00+00:00,2019-12-24 03:13:00+00:00,2.0,2019-12-23 22:11:00-05:00,22:11:00,2019-12-23 22:13:00-05:00,22:13:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 03:12:00+00:00,2019-12-24 03:12:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 03:21:00+00:00,2019-12-24 03:23:00+00:00,2.0,2019-12-23 22:21:00-05:00,22:21:00,2019-12-23 22:23:00-05:00,22:23:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 03:22:00+00:00,2019-12-24 03:22:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 03:39:00+00:00,2019-12-24 03:41:00+00:00,2.0,2019-12-23 22:39:00-05:00,22:39:00,2019-12-23 22:41:00-05:00,22:41:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 03:40:00+00:00,2019-12-24 03:40:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 04:16:00+00:00,2019-12-24 04:18:00+00:00,2.0,2019-12-23 23:16:00-05:00,23:16:00,2019-12-23 23:18:00-05:00,23:18:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 04:17:00+00:00,2019-12-24 04:17:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 04:27:00+00:00,2019-12-24 04:29:00+00:00,2.0,2019-12-23 23:27:00-05:00,23:27:00,2019-12-23 23:29:00-05:00,23:29:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 04:28:00+00:00,2019-12-24 04:28:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 04:49:00+00:00,2019-12-24 04:51:00+00:00,2.0,2019-12-23 23:49:00-05:00,23:49:00,2019-12-23 23:51:00-05:00,23:51:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 04:50:00+00:00,2019-12-24 04:50:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 04:52:00+00:00,2019-12-24 04:54:00+00:00,2.0,2019-12-23 23:52:00-05:00,23:52:00,2019-12-23 23:54:00-05:00,23:54:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 04:53:00+00:00,2019-12-24 04:53:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 04:57:00+00:00,2019-12-24 04:59:00+00:00,2.0,2019-12-23 23:57:00-05:00,23:57:00,2019-12-23 23:59:00-05:00,23:59:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 04:58:00+00:00,2019-12-24 04:58:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 05:04:00+00:00,2019-12-24 05:06:00+00:00,2.0,2019-12-24 00:04:00-05:00,00:04:00,2019-12-24 00:06:00-05:00,00:06:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 05:05:00+00:00,2019-12-24 05:05:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 05:08:00+00:00,2019-12-24 05:10:00+00:00,2.0,2019-12-24 00:08:00-05:00,00:08:00,2019-12-24 00:10:00-05:00,00:10:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 05:09:00+00:00,2019-12-24 05:09:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 05:24:00+00:00,2019-12-24 05:26:00+00:00,2.0,2019-12-24 00:24:00-05:00,00:24:00,2019-12-24 00:26:00-05:00,00:26:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 05:25:00+00:00,2019-12-24 05:25:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 05:26:00+00:00,2019-12-24 05:28:00+00:00,2.0,2019-12-24 00:26:00-05:00,00:26:00,2019-12-24 00:28:00-05:00,00:28:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 05:27:00+00:00,2019-12-24 05:27:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 05:28:00+00:00,2019-12-24 05:30:00+00:00,2.0,2019-12-24 00:28:00-05:00,00:28:00,2019-12-24 00:30:00-05:00,00:30:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 05:29:00+00:00,2019-12-24 05:29:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 06:06:00+00:00,2019-12-24 06:08:00+00:00,2.0,2019-12-24 01:06:00-05:00,01:06:00,2019-12-24 01:08:00-05:00,01:08:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 06:07:00+00:00,2019-12-24 06:07:00+00:00
