statistic,invariant_to_ratio,invariant_to_diff,reason
Nivel de precio (C_t),False,False,"Un nivel de precio cambia por definicion bajo cualquiera de los dos ajustes (k*C, C+c)."
"Diferencia en puntos (C_t - C_{t-1}, mismo segmento)",False,True,"Ratio: k*C_t - k*C_{t-1} = k*(C_t-C_{t-1}) != original salvo k=1. Aditivo: (C_t+c)-(C_{t-1}+c) = C_t-C_{t-1}, exacto -- es la propiedad que define al ajuste aditivo."
"Retorno simple (R_t = C_t/C_{t-1} - 1, mismo segmento)",True,False,"Ratio: (k C_t)/(k C_{t-1}) - 1 = R_t, exacto -- es la propiedad que define al ajuste por ratio. Aditivo: (C_t+c)/(C_{t-1}+c) - 1 != R_t en general."
"Log-retorno (r_t = ln(C_t/C_{t-1}), mismo segmento)",True,False,Mismo argumento que el retorno simple: ln(kC_t/kC_{t-1}) = ln(C_t/C_{t-1}); ln((C_t+c)/(C_{t-1}+c)) != r_t en general.
Rango absoluto en puntos (H_t - L_t),False,True,"Misma logica que la diferencia en puntos: el aditivo preserva diferencias, el ratio las escala por k."
Rango relativo/log (ln(H_t/L_t)),True,False,Misma logica que el log-retorno: ln(kH/kL) = ln(H/L); el aditivo NO preserva el cociente.
Medidas expresadas en ticks (p.ej. (C_t-C_{t-1})/tick_size),False,True,"tick_size es una constante FIJA del contrato (no se reescala con el ajuste). Bajo ratio, el numerador se escala pero el tick no -- el cociente cambia, y ademas el precio ajustado puede dejar de caer en la grilla de tick exacta. Bajo aditivo, la diferencia en el numerador es invariante, luego el cociente tambien."
"Varianza / desvio de retornos (Var(r_t), Var(R_t))",True,False,"Se calcula sobre valores que ya son, uno a uno, identicos bajo ratio (ver retorno simple/log-retorno arriba) -- luego cualquier funcion de esos valores (incluida la varianza) tambien es identica. Bajo aditivo, los propios retornos cambian valor a valor, luego su varianza tambien puede cambiar."
Varianza / desvio de diferencias en puntos (Var(C_t-C_{t-1})),False,True,"Analogo al anterior pero para diferencias en puntos: son identicas bar a bar bajo aditivo (invariante), escaladas por k bajo ratio (Var escala por k^2, no invariante)."
Cuantiles de retornos (simples o log),True,False,Los retornos individuales son identicos bajo ratio -> su distribucion empirica completa (y por tanto cualquier cuantil) tambien lo es. Bajo aditivo cambian valor a valor.
Cuantiles de niveles de precio o de diferencias en puntos,False,parcial,"Niveles: dependientes de ambos ajustes (igual que el nivel de precio). Diferencias en puntos: invariantes al aditivo (ver fila correspondiente), dependientes del ratio."
Correlacion / ACF de retornos,True,False,"Los retornos bajo ratio son identicos valor a valor (no solo 'proporcionales'), luego cualquier estadistico calculado sobre ellos -- incluida su autocorrelacion -- coincide exactamente. Bajo aditivo, al cambiar los propios retornos, la ACF puede cambiar tambien (aunque la formula de correlacion sea invariante a transformaciones afines de UNA variable, aqui el aditivo transforma el PRECIO, no el retorno directamente, y esa transformacion no es afin sobre el retorno)."
Volumen (V_t),True,True,Ninguno de los dos ajustes de PRECIO toca la columna de volumen -- permanece exactamente igual bajo cualquiera de los dos metodos (y tambien sin ajuste).
