decile,n,mean_abs_diff,median_abs_diff,max_abs_diff
GLOBAL,1914530,8.784482053575236e-08,8.459655373785346e-09,0.00047495823500089823
0,191453,7.263653896083295e-11,7.647831967597194e-11,1.9503313532928603e-10
1,191459,4.965971523955812e-10,5.081497670087203e-10,8.729712039441044e-10
2,191448,1.4885086571076057e-09,1.474211314803661e-09,2.1879569796559584e-09
3,191452,3.251825158437599e-09,3.2630214529585358e-09,4.505145039697942e-09
4,191455,6.300282043694747e-09,6.225760834614063e-09,8.460113885486176e-09
5,191451,1.1540965697212695e-08,1.1385843014450388e-08,1.5287622099821856e-08
6,191456,2.121774775094013e-08,2.078504711888144e-08,2.8575529023724218e-08
7,191451,4.122729591023096e-08,4.0183927447362024e-08,5.8120512409505064e-08
8,191452,9.394217313643353e-08,8.908350712484516e-08,1.5042012283959707e-07
9,191453,6.98910857238058e-07,3.1968653910132046e-07,0.00047495823500089823
