hour_ny,n,zero_fraction,sigma_delta_close_points,tick_to_sigma_points,sigma_r_1m,tick_return_representative,tick_to_sigma_return,close_representative,median_range_points,tick_to_median_range,median_abs_ticks,prop_0_ticks,prop_abs_1_tick,prop_abs_le_2_ticks,prop_abs_le_5_ticks,n_distinct_r1m_central,n_distinct_ticks_central
0,84455,0.07711799182996862,2.616999580546388,0.09552924725643401,0.00021239042272609652,1.7438159925723805e-05,0.08210426676447859,14336.25,2.25,0.1111111111111111,4.0,0.07711799182996862,0.14671718666745603,0.35318216801847135,0.6345864661654136,41858,11
1,84467,0.05956172232943043,3.131672814624234,0.07982953992912482,0.00025435652008621863,1.7446374207808995e-05,0.06859023783583468,14329.5,2.75,0.09090909090909091,5.0,0.05956172232943043,0.1143049948500598,0.27937537736630874,0.5372393952667905,36698,11
2,84663,0.047435125143214865,3.6704384410078688,0.06811175395475433,0.0002862084841534434,1.7447287383399234e-05,0.06096006355299138,14328.75,3.5,0.07142857142857142,6.0,0.047435125143214865,0.09248432018709472,0.2249979329813496,0.44779892042568775,31366,11
3,84675,0.03374077354591083,4.834387677201065,0.051712857282629206,0.0003613713218284787,1.7421754545290427e-05,0.0482101193230809,14349.75,5.25,0.047619047619047616,9.0,0.03374077354591083,0.06415116622379687,0.1622084440507824,0.3364157071154414,24302,11
4,84638,0.038446088045558734,4.4200366220884515,0.05656061733757217,0.0003309699404979646,1.740719787667723e-05,0.05259449800935708,14361.75,4.5,0.05555555555555555,8.0,0.038446088045558734,0.07503721732555117,0.18495238545334247,0.3754460171554148,26766,11
5,84612,0.044615420980475586,3.679764701323363,0.06793912662678998,0.00028157441207825,1.739417816898922e-05,0.061774711844751536,14372.5,4.0,0.0625,7.0,0.044615420980475586,0.08549614711861202,0.21300761121353945,0.4285089585401598,30189,11
6,84436,0.04454261215595244,3.955228554809375,0.06320747247235854,0.00029389706755405886,1.7387826783007246e-05,0.059162981542199164,14377.75,3.75,0.06666666666666667,7.0,0.04454261215595244,0.08606518546591502,0.21368847411056896,0.4252806859633332,29961,11
7,84716,0.03963832097832759,4.286329372410555,0.0583249625213483,0.00031727062469994876,1.7396296328872133e-05,0.05483109678157022,14370.75,4.25,0.058823529411764705,7.0,0.03963832097832759,0.07909957977241608,0.1941427829453704,0.39344397752490673,28033,11
8,84720,0.034525495750708214,6.94522549443902,0.03599595149216865,0.0005202287843121973,1.739796095943343e-05,0.03344290336113475,14369.375,5.25,0.047619047619047616,9.0,0.034525495750708214,0.064719074598678,0.16421152030217187,0.33622521246458925,24243,11
9,84122,0.023549131023988968,9.440782959762663,0.026480854508097378,0.0006886692176314662,1.7390245811663817e-05,0.02525195749488257,14375.75,9.5,0.02631578947368421,15.0,0.023549131023988968,0.04290197570195668,0.1076412828986472,0.2274196999595825,16547,11
