weekday,weekday_name,variable,n,point,ci_lo,ci_hi
0,Lunes,r_1m_mean,283,1.70344456420927e-06,1.299440992378332e-07,2.970548560668804e-06
1,Martes,r_1m_mean,287,4.112748067452314e-07,-7.806579370698947e-07,1.8935876822582243e-06
2,Miercoles,r_1m_mean,283,1.344965983480533e-06,-1.2122761423267662e-07,3.252047927552829e-06
3,Jueves,r_1m_mean,287,-3.4830778928678143e-07,-1.6559781716040732e-06,8.981874620411009e-07
4,Viernes,r_1m_mean,280,3.64529137627141e-07,-9.368722555277753e-07,1.8816246689921772e-06
5,Sabado,r_1m_mean,0,,,
6,Domingo,r_1m_mean,0,,,
0,Lunes,r_1m_median,283,0.0,0.0,0.0
1,Martes,r_1m_median,287,0.0,0.0,0.0
2,Miercoles,r_1m_median,283,0.0,0.0,0.0
3,Jueves,r_1m_median,287,0.0,0.0,0.0
4,Viernes,r_1m_median,280,0.0,0.0,0.0
5,Sabado,r_1m_median,0,,,
6,Domingo,r_1m_median,0,,,
0,Lunes,abs_r_1m,283,0.0001285897987198463,0.00011937305286879793,0.00013750465818806985
1,Martes,abs_r_1m,287,0.00012403100791101067,0.00011568527505453174,0.00013434282389618196
2,Miercoles,abs_r_1m,283,0.0001263997335797785,0.00011665833474035664,0.0001330196668334045
3,Jueves,abs_r_1m,287,0.00013266998361086176,0.00012649401887704966,0.00014052838696534852
4,Viernes,abs_r_1m,280,0.00012832832381402874,0.00011859616281821773,0.00013500469059453908
5,Sabado,abs_r_1m,0,,,
6,Domingo,abs_r_1m,0,,,
0,Lunes,r2_1m,283,1.6535336334810588e-08,1.4249925751216826e-08,1.890770565921522e-08
1,Martes,r2_1m,287,1.538369092342119e-08,1.3383278458410562e-08,1.804799433240056e-08
2,Miercoles,r2_1m,283,1.597689264903899e-08,1.3609233335930207e-08,1.769475761838766e-08
3,Jueves,r2_1m,287,1.7601324551306327e-08,1.6000737548724997e-08,1.9748227543082737e-08
4,Viernes,r2_1m,280,1.646822141926937e-08,1.4065067814930422e-08,1.822644358533064e-08
5,Sabado,r2_1m,0,,,
6,Domingo,r2_1m,0,,,
0,Lunes,zero_1m,283,0.04392170037453851,0.04095748586645313,0.04702547268466487
1,Martes,zero_1m,287,0.04430284604539054,0.04187152288281215,0.04689005022942276
2,Miercoles,zero_1m,283,0.042714619790616484,0.0407060532742374,0.044855990325607026
3,Jueves,zero_1m,287,0.04248711898156134,0.040052590527171875,0.044813748829036056
4,Viernes,zero_1m,280,0.04338701794991013,0.04117942397639993,0.045789488750008135
5,Sabado,zero_1m,0,,,
6,Domingo,zero_1m,0,,,
0,Lunes,extreme_flag,283,0.010676281021205897,0.006844808867762706,0.015369325191536817
1,Martes,extreme_flag,287,0.009470205379317014,0.006550288487019548,0.01328876517985503
2,Miercoles,extreme_flag,283,0.011143421190818324,0.007874606543488377,0.015310824113915572
3,Jueves,extreme_flag,287,0.010967243715550091,0.008073538638664321,0.014582683496035132
4,Viernes,extreme_flag,280,0.010711426909547721,0.007104374799356652,0.014283939774191281
5,Sabado,extreme_flag,0,,,
6,Domingo,extreme_flag,0,,,
0,Lunes,volume,283,265.0,249.5,280.0
1,Martes,volume,287,271.0,254.975,301.6937499999999
2,Miercoles,volume,283,271.0,261.0,287.28749999999997
3,Jueves,volume,287,274.0,258.5,299.13125
4,Viernes,volume,280,259.75,247.0,282.28749999999997
5,Sabado,volume,0,,,
6,Domingo,volume,0,,,
0,Lunes,log_hl,283,0.0003103758677122229,0.0002871691388275052,0.00033254881612118734
1,Martes,log_hl,287,0.0002962012215723236,0.0002797548049675645,0.00032066220137969595
2,Miercoles,log_hl,283,0.00029693415721464994,0.0002812510272017134,0.00032122165627730405
3,Jueves,log_hl,287,0.0003154201027805207,0.000296323863766754,0.00033394556997607615
4,Viernes,log_hl,280,0.0002911968402319289,0.0002721401748026891,0.0003122361218853748
5,Sabado,log_hl,0,,,
6,Domingo,log_hl,0,,,
