variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,0,1406,1.2730892277803708e-05,4.574601575407189e-06,2.1110248847132888e-05
r_1m_mean,1,1412,-6.921366169362804e-06,-1.86511003446178e-05,4.725170264120883e-06
r_1m_mean,2,1414,3.8034007268555335e-06,-7.881783125411539e-06,1.5244021313625124e-05
r_1m_mean,3,1412,4.704772568581701e-06,-8.033425429136863e-06,1.869248658347859e-05
r_1m_mean,4,1412,1.0550218725198455e-06,-1.0042677217580155e-05,1.1837818527568992e-05
r_1m_mean,5,1411,4.319924654813049e-07,-1.0122508975295696e-05,1.1793522893251642e-05
r_1m_mean,6,1407,2.4305003985757912e-06,-8.36447221588707e-06,1.3399193805442885e-05
r_1m_mean,7,1407,-4.6222931959942775e-06,-1.5563923995860127e-05,7.545327816990401e-06
r_1m_mean,8,1408,-5.208274396982747e-06,-1.5114673071090258e-05,4.886316592218965e-06
r_1m_mean,9,1407,1.3779946176978328e-06,-8.854210976310587e-06,1.1137602070960928e-05
r_1m_mean,10,1409,-4.5369142129903924e-06,-1.5015858825823862e-05,7.933891964842736e-06
r_1m_mean,11,1412,1.06778074905549e-06,-9.976966097049008e-06,1.2197256920463288e-05
r_1m_mean,12,1408,5.077743275101778e-06,-6.265480427932635e-06,1.630031797445995e-05
r_1m_mean,13,1408,1.3666947527959375e-05,3.901110119963621e-06,2.3366778737570084e-05
r_1m_mean,14,1409,4.789170548223953e-06,-5.7497388994428745e-06,1.5439166281464576e-05
r_1m_mean,15,1407,-5.6041726536117995e-06,-1.6984431556150047e-05,4.994102362540859e-06
r_1m_mean,16,1406,4.51643845656047e-06,-6.441590782751056e-06,1.2317226397408334e-05
r_1m_mean,17,1408,-8.526571689332959e-08,-1.1776781076722064e-05,1.0526844360607143e-05
r_1m_mean,18,1408,3.944554079392136e-07,-8.284776211268606e-06,1.0189501295184791e-05
r_1m_mean,19,1410,1.4730468653855552e-06,-1.0070351743563536e-05,1.3661415834475701e-05
r_1m_mean,20,1407,-1.1737593074336298e-06,-1.016545790902454e-05,6.134120486964283e-06
r_1m_mean,21,1407,3.169035166303629e-06,-5.750019719449412e-06,1.3394849768700184e-05
r_1m_mean,22,1410,-8.935795389015554e-06,-1.9624375760268797e-05,1.6710882778664757e-07
r_1m_mean,23,1407,1.3674582952438024e-05,3.7861867128589057e-06,2.380539807867786e-05
r_1m_mean,24,1406,-9.794694470777885e-07,-1.0890156154176148e-05,8.984881306333547e-06
r_1m_mean,25,1404,6.860023911628294e-06,-3.0064354254336912e-06,1.6300445060954077e-05
r_1m_mean,26,1406,-5.10051423071481e-06,-1.596414148450673e-05,3.7541532362168597e-06
r_1m_mean,27,1404,-9.20466437674314e-06,-2.0795443204083863e-05,1.4776388530851273e-06
r_1m_mean,28,1406,-2.881265546793317e-06,-1.2536809443034232e-05,6.460828907210777e-06
r_1m_mean,29,1404,2.572749167608945e-06,-8.457698444142883e-06,1.4185152661361619e-05
r_1m_mean,30,1405,-5.153940245829738e-06,-1.4384878309306063e-05,4.9770328582313335e-06
r_1m_mean,31,1409,1.6574244887034473e-05,1.534516674217499e-06,3.085404263115597e-05
r_1m_mean,32,1411,-3.44632524935683e-08,-1.2371006254537135e-05,1.1510106828115882e-05
r_1m_mean,33,1407,2.4309108319294064e-06,-1.0012549169955323e-05,1.257445246666668e-05
r_1m_mean,34,1407,2.6806287185011746e-06,-9.032300974049839e-06,1.4241090263239232e-05
r_1m_mean,35,1407,7.38595265173362e-06,-5.00073301290101e-06,2.1770671076764975e-05
r_1m_mean,36,1407,5.93637864131209e-06,-4.013847585546171e-06,1.575054810887475e-05
r_1m_mean,37,1410,1.2764798923288359e-05,1.056851839616992e-06,2.4665502240049427e-05
r_1m_mean,38,1409,-1.5922931314376408e-05,-2.9166679949212394e-05,-3.446628649351359e-06
r_1m_mean,39,1409,-2.0697306697728137e-07,-1.1661321235706584e-05,1.0155012692649354e-05
r_1m_mean,40,1411,-2.3497525973588635e-06,-1.1688486639566411e-05,7.708006666099042e-06
r_1m_mean,41,1407,5.478871025394991e-06,-5.112729691200478e-06,1.6890372783961505e-05
r_1m_mean,42,1407,-3.9992617998325165e-06,-1.6440012810045856e-05,8.137158366428644e-06
r_1m_mean,43,1410,-4.841114618881601e-06,-1.4678596070829879e-05,4.81103146424336e-06
r_1m_mean,44,1409,1.0739091371786775e-05,-5.077478187433689e-07,2.2347023218999207e-05
r_1m_mean,45,1405,6.840600477129056e-06,-1.2823285606963744e-06,1.5757638410583267e-05
r_1m_mean,46,1405,-1.7454571339711162e-06,-1.211284127574893e-05,8.786790151744424e-06
r_1m_mean,47,1407,7.140541184314164e-06,-4.058723739178089e-06,1.6711743818263635e-05
r_1m_mean,48,1406,-3.251732784618082e-06,-1.2647957071300314e-05,6.146201220024193e-06
r_1m_mean,49,1400,8.853948106766717e-06,-1.5428803694319293e-06,1.920779998057285e-05
r_1m_mean,50,1405,-5.745085150620225e-06,-1.655433484815223e-05,4.433818638744816e-06
r_1m_mean,51,1408,-4.170413979012377e-06,-1.4786357090408579e-05,6.191452708825626e-06
r_1m_mean,52,1410,5.174117297531289e-06,-6.068434089225703e-06,1.666749740452099e-05
r_1m_mean,53,1408,-3.0239787473268703e-06,-1.2263172073345985e-05,6.440581688169013e-06
r_1m_mean,54,1405,-1.59143105026748e-06,-1.234415411938875e-05,9.857418592257611e-06
r_1m_mean,55,1407,-4.95257424864736e-06,-1.68957381439428e-05,6.4276884254965326e-06
r_1m_mean,56,1410,1.201401368179481e-05,-3.231991983811587e-07,2.3188924016541554e-05
r_1m_mean,57,1406,6.515153485467644e-06,-3.4499449968498467e-06,1.629610201227277e-05
r_1m_mean,58,1402,-3.5650534391911937e-06,-1.5702037005897813e-05,8.073502507540116e-06
r_1m_mean,59,1404,1.0648720072241722e-05,-2.74268720174866e-07,2.5302321134982975e-05
r_1m_mean,60,1405,1.7880087401516073e-06,-1.1755989279344467e-05,1.7735329142052293e-05
r_1m_mean,61,1410,-5.666143904412597e-06,-2.091148635839668e-05,1.0486751996618265e-05
r_1m_mean,62,1410,-2.4396850144075874e-06,-1.944984988681925e-05,1.3591374122049439e-05
r_1m_mean,63,1409,-7.5873469760519506e-06,-2.060805837502595e-05,6.157510195933396e-06
r_1m_mean,64,1407,8.630840608164213e-07,-1.405449178150642e-05,1.3430810896750633e-05
r_1m_mean,65,1406,5.713578874139637e-06,-5.078754099778997e-06,1.7413545353060207e-05
r_1m_mean,66,1409,1.5828014986319216e-06,-1.1434990083952482e-05,1.4665802980496734e-05
r_1m_mean,67,1405,-4.008674724091894e-06,-1.6434721293770224e-05,1.2203269844581958e-05
r_1m_mean,68,1409,-5.264305425628102e-06,-1.908891533844824e-05,8.738156107506745e-06
