year_ny,variable,minute_of_day,n,point,ci_lo,ci_hi
2019,r_1m_mean,0,4,7.159672586129195e-06,-1.5782743997223217e-05,2.8513767321148515e-05
2019,r_1m_mean,1,6,9.376664892345142e-06,-2.8415197723187027e-05,6.853782202981124e-05
2019,r_1m_mean,2,6,1.4324673830697171e-05,0.0,2.388001636900043e-05
2019,r_1m_mean,3,5,-2.276711883304259e-05,-4.4090919200725335e-05,-4.766325540183309e-06
2019,r_1m_mean,4,5,5.5932380615212175e-06,-1.4335889901355285e-05,3.3982782066189994e-05
2019,r_1m_mean,5,4,1.4262860734496603e-05,0.0,2.851184592729968e-05
2019,r_1m_mean,6,4,-1.4240529092328041e-05,-2.8531755709304706e-05,0.0
2019,r_1m_mean,7,5,-1.1481811207070258e-05,-3.821315297771639e-05,1.4291226616966936e-05
2019,r_1m_mean,8,5,-5.7607307243346685e-06,-3.8118570301708334e-05,2.2053601983939907e-05
2019,r_1m_mean,9,3,-2.8318584087844682e-05,-8.495575226353405e-05,0.0
2019,r_1m_mean,10,4,-2.1394424831860106e-05,-2.8640816107505322e-05,-5.689108032894526e-06
2019,r_1m_mean,11,6,4.758294849478439e-06,-3.317210056065072e-05,3.80899750838402e-05
2019,r_1m_mean,12,6,9.5976043069368e-06,-9.459619250945054e-06,2.8665238342282943e-05
2019,r_1m_mean,13,6,1.2344345561869643e-07,-4.0427112346683176e-05,4.306604382117781e-05
2019,r_1m_mean,14,6,9.41798791976076e-06,-1.9059118041995258e-05,4.724629438019193e-05
2019,r_1m_mean,15,5,-3.984041506294886e-05,-6.43608114673572e-05,-2.848040934474763e-05
2019,r_1m_mean,16,5,9.473862875934749e-08,-3.0842732953896714e-05,2.291150687927029e-05
2019,r_1m_mean,17,5,-1.1393611848538305e-05,-4.287947983520838e-05,1.2974724377575131e-05
2019,r_1m_mean,18,5,-2.8363815233581308e-05,-6.326940366413945e-05,5.8022101723983276e-06
2019,r_1m_mean,19,6,4.7740375443467645e-06,-1.4225910595015542e-05,2.3768533384048094e-05
2019,r_1m_mean,20,5,1.1284759243556869e-05,-1.4336712019430794e-05,3.9707315513780566e-05
2019,r_1m_mean,21,5,-5.775818909368692e-06,-4.271882639039618e-05,3.419450721949128e-05
2019,r_1m_mean,22,5,5.641152938713267e-06,-2.857817614239511e-05,5.109824668425033e-05
2019,r_1m_mean,23,5,1.145419868430499e-05,-7.072097904640597e-06,2.859643793759033e-05
2019,r_1m_mean,24,6,9.568234361462337e-06,-1.8942290106303823e-05,3.819974683742056e-05
2019,r_1m_mean,25,4,-3.56114414218425e-05,-5.703365598122034e-05,-5.664679308717348e-06
2019,r_1m_mean,26,4,-1.4018218435989388e-05,-5.67465674163839e-05,3.641785909861937e-05
2019,r_1m_mean,27,4,-2.3153807428435073e-08,-1.9116712309098408e-05,2.28659625871471e-05
2019,r_1m_mean,28,5,-1.1330394583773597e-05,-2.8480234355658718e-05,8.470232723895465e-06
2019,r_1m_mean,29,5,-2.843434581835606e-05,-5.698703904066003e-05,7.779716484454929e-06
2019,r_1m_mean,30,5,-1.1452297031325624e-05,-5.1413211072782886e-05,2.8318052756050537e-05
2019,r_1m_mean,31,6,1.9055574331498114e-05,-1.9102612345165443e-05,4.767939486941308e-05
2019,r_1m_mean,32,6,-3.802592045121576e-05,-8.564373307314985e-05,4.7128049735725716e-06
2019,r_1m_mean,33,6,9.577823460069618e-06,-9.426003870050923e-06,2.386197739465036e-05
2019,r_1m_mean,34,6,9.524808918409328e-06,-2.379888596420758e-05,5.233819785293069e-05
2019,r_1m_mean,35,6,-6.560008646778674e-09,-1.4327673903122074e-05,1.4307993877181738e-05
2019,r_1m_mean,36,6,-3.286776236466394e-09,-9.56008171207335e-06,1.4327673903114405e-05
2019,r_1m_mean,37,6,-4.755477061905205e-06,-5.233813275926488e-05,2.8646117009437943e-05
2019,r_1m_mean,38,6,-2.2003307040925727e-08,-1.9035864795760698e-05,2.839054027956901e-05
2019,r_1m_mean,39,6,-2.846778420170757e-05,-5.699696859144735e-05,4.774112812173163e-06
2019,r_1m_mean,40,6,-1.873910133537149e-05,-7.561208438016867e-05,2.8633413186850215e-05
2019,r_1m_mean,41,6,2.3898362523247557e-05,1.0046753306360569e-07,4.7704131028255916e-05
2019,r_1m_mean,42,6,-3.0975985269283445e-08,-1.4290818150309967e-05,1.4197890194502117e-05
2019,r_1m_mean,43,6,2.380634475712821e-05,9.488302139827503e-06,4.2845994633461016e-05
2019,r_1m_mean,44,6,-3.328172139361685e-05,-5.228868139167154e-05,-1.8960853368877578e-05
2019,r_1m_mean,45,6,-9.57873868861929e-06,-3.8135054910054293e-05,1.8948253850617016e-05
2019,r_1m_mean,46,6,4.5192461715445476e-08,-2.858296120425033e-05,2.867284380410616e-05
2019,r_1m_mean,47,6,2.8540262478124072e-05,4.769058349764297e-06,5.7080524956248165e-05
2019,r_1m_mean,48,5,-2.2967341217137464e-05,-6.785801681457224e-05,1.1338346335589192e-05
2019,r_1m_mean,49,3,6.37315330204458e-08,-5.679559267729407e-05,2.8656168958713805e-05
2019,r_1m_mean,50,4,-7.285569533362229e-06,-4.9098863640623124e-05,4.7326830535735475e-05
2019,r_1m_mean,51,6,2.860157080351241e-05,9.487305341904876e-06,4.7714393884306855e-05
2019,r_1m_mean,52,6,1.4240611438674119e-05,0.0,3.3256977327484114e-05
2019,r_1m_mean,53,6,4.83561693920496e-06,-1.8981650768423575e-05,4.2979326970250235e-05
2019,r_1m_mean,54,6,-4.835616939175989e-06,-4.297932697020745e-05,1.8981650768452984e-05
2019,r_1m_mean,55,6,1.2886217270382299e-08,-2.631203068121461e-05,2.8545736197088597e-05
2019,r_1m_mean,56,5,3.982844404826974e-05,9.494159284723589e-06,7.091945691239791e-05
2019,r_1m_mean,57,4,-2.3254611210617164e-07,-4.7760286353575234e-05,5.10028449409002e-05
2019,r_1m_mean,58,4,-6.881880502169112e-06,-5.675253732650709e-05,4.7760286353630203e-05
2019,r_1m_mean,59,6,3.779801111595513e-05,-4.917706047294797e-06,8.521243348394295e-05
2019,r_1m_mean,60,6,-2.359496885979729e-05,-6.622610562194828e-05,4.882999785320178e-06
2019,r_1m_mean,61,6,1.427118961698309e-05,-2.8368492438938365e-05,5.483910770423919e-05
2019,r_1m_mean,62,6,4.656582287097533e-06,-3.3450577286426154e-05,3.799327142131008e-05
2019,r_1m_mean,63,6,-9.48393893768881e-05,-0.00020376155361817407,-1.646129476729168e-05
2019,r_1m_mean,64,5,1.4124171766303237e-07,-4.6341952802647296e-05,5.001971136049382e-05
2019,r_1m_mean,65,4,-3.555350249259222e-05,-7.609073303687617e-05,6.682674040085216e-06
2019,r_1m_mean,66,5,-2.2724690400543296e-05,-6.817407120162988e-05,0.0
2019,r_1m_mean,67,4,-3.562933364167767e-05,-7.479725245609648e-05,1.565639787971592e-05
2019,r_1m_mean,68,5,-2.815723885700389e-05,-0.0001245670936577493,3.814973773100763e-05
2019,r_1m_mean,69,6,4.653936113694228e-06,-1.4347488938368176e-05,3.314360751711611e-05
2019,r_1m_mean,70,6,4.272761006430338e-05,-2.4658988513043844e-06,9.481195581054486e-05
2019,r_1m_mean,71,6,-1.9322276571246847e-05,-7.168185852527268e-05,4.246474443818203e-05
2019,r_1m_mean,72,6,1.8948587617348056e-05,-9.536479418553721e-06,5.2062511645634725e-05
2019,r_1m_mean,73,6,4.871810436203283e-06,-5.188029650688868e-05,5.2166382481878175e-05
2019,r_1m_mean,74,6,9.45846248426504e-06,-1.4369390271609294e-05,3.811551012501209e-05
2019,r_1m_mean,75,4,6.8872693231607346e-06,-4.7764942865521544e-05,5.676865780783134e-05
2019,r_1m_mean,76,4,3.573095908305711e-05,-3.5326117449154684e-05,9.314522354149283e-05
2019,r_1m_mean,77,6,4.69329066849835e-06,-1.6786699819441815e-05,3.088217430329054e-05
2019,r_1m_mean,78,5,-1.3951615964595576e-08,-1.5847065067290832e-05,1.7167627578123407e-05
2019,r_1m_mean,79,5,-1.713787063631424e-05,-4.772404138014478e-05,2.2936735055705938e-05
2019,r_1m_mean,80,6,1.4040101419860658e-05,-2.636816348995092e-05,5.67630098467576e-05
2019,r_1m_mean,81,5,-5.85866973832684e-06,-2.8654790835128802e-05,2.8329414438551344e-05
2019,r_1m_mean,82,5,0.0,0.0,0.0
2019,r_1m_mean,83,5,5.586069674464107e-06,-2.3332882278108756e-05,5.098933476143943e-05
2019,r_1m_mean,84,4,7.181317615917049e-06,-2.1244954324751878e-05,2.858900089089158e-05
2019,r_1m_mean,85,5,-1.1475527708230113e-05,-4.270761984962293e-05,2.6013309420856192e-05
2019,r_1m_mean,86,6,2.8349829426377714e-05,-2.602802813815241e-06,6.153087661552073e-05
2019,r_1m_mean,87,6,-1.4174433560222485e-05,-3.305696533511828e-05,0.0
2019,r_1m_mean,88,6,1.9058425126049746e-05,4.733167672772372e-06,3.342016386527878e-05
2019,r_1m_mean,89,6,2.3633065154471146e-05,-9.525850778177908e-06,6.141275248298701e-05
2019,r_1m_mean,90,5,-5.709210076530034e-06,-3.8191793362992564e-05,2.1369931304226996e-05
2019,r_1m_mean,91,4,-4.969393059811181e-05,-0.00010199527112773404,-9.561646324936385e-06
2019,r_1m_mean,92,4,-1.4245082523345022e-05,-2.858097486061154e-05,0.0
2019,r_1m_mean,93,4,2.130005539900051e-05,-2.8710387249512924e-05,5.7161132853601625e-05
2019,r_1m_mean,94,4,-7.118487502453159e-06,-6.880966462055595e-05,4.6441826454125884e-05
2019,r_1m_mean,95,5,5.68015113392775e-06,-2.1424141496194363e-05,3.800808942493062e-05
2019,r_1m_mean,96,6,-2.855562882281099e-05,-7.3946558622407e-05,1.43569335834336e-05
2019,r_1m_mean,97,6,4.2833276953238956e-05,3.074347812975725e-05,5.255642460945428e-05
