lag,rho,beta,n_pairs,estimable,series,bartlett_se
1,0.005921100675958302,0.005915184560903213,1911434,True,r_1m,0.0007227180676124741
2,-0.00844524979014991,-0.008434130206968902,1908553,True,r_1m,0.0007227434052541448
3,-0.0016172860704395822,-0.001613494695387972,1905799,True,r_1m,0.0007227949474835859
4,0.003939048311167655,0.003927843558456291,1903157,True,r_1m,0.0007227968376317123
5,-0.0044792849066290245,-0.004464297855076278,1900601,True,r_1m,0.0007228080500896383
6,0.0011507224440538155,0.001146742462003572,1898109,True,r_1m,0.0007228225487494905
7,-5.647304569985375e-05,-5.6259126624429574e-05,1895659,True,r_1m,0.0007228235056064326
8,0.00012714982352720404,0.0001266382760246247,1893253,True,r_1m,0.0007228235079109923
9,-0.0065062154276502495,-0.006479862797236516,1890880,True,r_1m,0.000722823519593527
10,0.003238380747821849,0.0032246657735760928,1888548,True,r_1m,0.0007228541077453994
11,0.002631683505937929,0.0026203712423880543,1886238,True,r_1m,0.0007228616855030594
12,0.0011730687232214643,0.0011679336106843582,1883955,True,r_1m,0.0007228666898617647
13,-0.0019272497458740676,-0.0019192414230583515,1881700,True,r_1m,0.0007228676841818767
14,-0.0007494129494471784,-0.0007466139141726925,1879471,True,r_1m,0.0007228703680069254
15,0.0014659953816483925,0.0014618364332414518,1877263,True,r_1m,0.0007228707738140487
16,0.00015988064159146615,0.00015957475598414746,1875074,True,r_1m,0.0007228723267083476
17,-0.0006777355914998976,-0.0006765401059578263,1872908,True,r_1m,0.0007228723451783938
18,0.0013585623574941732,0.0013569772558833253,1870754,True,r_1m,0.0007228726770703301
19,0.0031217691144238367,0.0031186470790322087,1868620,True,r_1m,0.0007228740106985233
20,0.0030122758082680497,0.0030103210876463813,1866492,True,r_1m,0.0007228810523521219
21,-0.0007926567557846372,-0.0007930518898144808,1864375,True,r_1m,0.0007228876086470412
22,0.001540561347986496,0.0015417735817732253,1862266,True,r_1m,0.0007228880626275822
23,-0.0018337107747353882,-0.0018357044673587032,1860165,True,r_1m,0.0007228897774701306
24,-0.00017336338497175378,-0.0001736200449892001,1858073,True,r_1m,0.0007228922070248486
25,0.0009187676595411489,0.0009218096608160811,1855990,True,r_1m,0.0007228922287408086
26,-0.00216375973136889,-0.0021715626727826366,1853916,True,r_1m,0.0007228928386644734
27,0.0009297758184395072,0.0009334581409265832,1851849,True,r_1m,0.000722896221500551
28,0.0012702741648852724,0.0012755574561639988,1849790,True,r_1m,0.0007228968461238437
29,-2.138655865060012e-05,-2.1483879936141378e-05,1847740,True,r_1m,0.0007228980120098096
30,-0.00038417703786273094,-0.00038625862890303073,1846051,True,r_1m,0.0007228980123402876
31,-0.004771379917343097,-0.004798930521573433,1844372,True,r_1m,0.0007228981189811304
32,0.00017100138600331468,0.00017200581801349324,1842701,True,r_1m,0.0007229145681433988
33,-0.0006418547783123957,-0.0006460166542204285,1841036,True,r_1m,0.0007229145892709957
34,-0.0004399810332140286,-0.00044293879984732296,1839377,True,r_1m,0.0007229148869336173
35,-0.0011863637090510572,-0.0011951660266363699,1837726,True,r_1m,0.0007229150268016687
36,0.002763882762573241,0.002784726899206255,1836086,True,r_1m,0.0007229160437197574
37,0.0024023504730924126,0.0024210690070770448,1834453,True,r_1m,0.0007229215630647079
38,0.0011491524113775796,0.0011583259120307124,1832825,True,r_1m,0.0007229257328925452
39,-0.0016747887535108815,-0.0016886894759075577,1831204,True,r_1m,0.0007229266870040198
40,0.005811787260958368,0.0058636423164105216,1829590,True,r_1m,0.0007229287135806485
41,-0.0029644344589757595,-0.0029914849335430584,1827982,True,r_1m,0.0007229531172109274
42,0.0016201151957091382,0.0016357359481044941,1826378,True,r_1m,0.0007229594662717599
43,-0.00249981825055892,-0.002524662653526369,1824776,True,r_1m,0.0007229613626069169
44,0.0007982776750384995,0.0008065603225239473,1823177,True,r_1m,0.0007229658774041373
45,0.0027513222187975175,0.0027810421779475222,1821581,True,r_1m,0.0007229663377962272
46,0.0013786998803248223,0.0013940647972129586,1819986,True,r_1m,0.0007229718067092411
47,-0.0016179381259954129,-0.0016364363116063883,1818395,True,r_1m,0.0007229731799779539
48,-0.0017283043697057456,-0.001748196168785465,1816806,True,r_1m,0.0007229750711841737
49,-0.0008130809361661488,-0.000822574858383723,1815218,True,r_1m,0.0007229772291984287
50,0.0012705614126729727,0.0012857405057865182,1813633,True,r_1m,0.000722977706816355
51,0.0008585194884727638,0.0008688491866600237,1812049,True,r_1m,0.0007229788730992088
52,0.0007004045004365214,0.0007090669891713486,1810465,True,r_1m,0.0007229794055903339
53,0.000720482867019568,0.00072961288425857,1808882,True,r_1m,0.0007229797600033367
54,0.0019704160673236163,0.0019958141966269767,1807300,True,r_1m,0.0007229801350271865
55,0.003811015154321768,0.003863703858101931,1805720,True,r_1m,0.0007229829399860563
56,-0.0004945159812938155,-0.0005014700493627835,1804141,True,r_1m,0.000722993432703416
57,-0.0014752295903952173,-0.0014966050544072105,1802562,True,r_1m,0.0007229936093739335
58,-0.0004229557886113584,-0.00042933121000247464,1800987,True,r_1m,0.0007229951816258152
59,0.000511398505506015,0.0005199648858773741,1799414,True,r_1m,0.0007229953108644401
60,0.00040814854244029683,0.00041539461309418114,1797843,True,r_1m,0.0007229954998032588
61,9.123487940766659e-05,9.294162655232333e-05,1796273,True,r_1m,0.0007229956201512079
62,-0.0012312034084706982,-0.0012546823015134002,1794704,True,r_1m,0.0007229956261646615
63,0.0005637819254743002,0.000574712042478174,1793138,True,r_1m,0.0007229967212839879
64,-0.0019684555281893807,-0.002007836792094183,1791576,True,r_1m,0.0007229969509113963
65,0.0020602430681214675,0.0021038125224341216,1790014,True,r_1m,0.0007229997502261469
66,-0.002131626515830679,-0.0021788902693802067,1788452,True,r_1m,0.0007230028166746732
67,-0.003561143411503834,-0.00364212887170584,1786892,True,r_1m,0.0007230060992830748
68,-0.000937797582852298,-0.0009594417212479007,1785333,True,r_1m,0.0007230152608980998
69,-0.000300107648310578,-0.0003072339859137711,1783774,True,r_1m,0.0007230158962413014
70,0.0007807943020159298,0.0008009913092612535,1782215,True,r_1m,0.0007230159613057996
71,-0.0031275583396309765,-0.0032095797460549172,1780658,True,r_1m,0.0007230164017217888
72,-0.0024888841066601415,-0.0025556769611814385,1779102,True,r_1m,0.0007230234681246184
73,-0.00012323301895998326,-0.0001266200368283506,1777548,True,r_1m,0.0007230279431286911
74,5.854991132424607e-05,6.020427494583892e-05,1775996,True,r_1m,0.0007230279540994562
75,0.001796530814104594,0.001848691603118924,1774447,True,r_1m,0.0007230279565759385
76,-0.001973188049351187,-0.0020313480901777803,1772900,True,r_1m,0.0007230302881615952
77,-0.003604429827592734,-0.0037120122745072826,1771357,True,r_1m,0.0007230331008229215
78,-0.0016193968417827264,-0.001668679982047116,1769815,True,r_1m,0.0007230424861621638
79,-0.0021177774622638604,-0.0021832543149183214,1768274,True,r_1m,0.000723044380598494
80,0.0024221779324792255,0.002498340189450593,1766734,True,r_1m,0.0007230476205054638
81,-0.00217560267170306,-0.0022450681752145436,1765195,True,r_1m,0.0007230518587082849
