group_type,group,lag,n_pairs,rho,beta,insufficient_sample
year,2019,1,7268,0.028543227658951415,0.028549436425579163,False
year,2020,1,341661,0.0070808997414306945,0.007062274784437185,False
year,2021,1,348320,0.01173392088116789,0.011728648575840415,False
year,2022,1,349610,0.009819737111574573,0.009824310405891214,False
year,2023,1,349264,-0.008744947514010762,-0.008741767185183767,False
year,2024,1,351915,0.0075369267085408885,0.007534885783009642,False
year,2025,1,163396,-0.0008643007618852817,-0.0008630243465326245,False
year,2019,2,7138,-0.06540086734544469,-0.0654295886409577,False
year,2020,2,340794,-0.01860548716923748,-0.01854223933610158,False
year,2021,2,347659,-0.007316292887722272,-0.007308082652159007,False
year,2022,2,349238,-0.00468848828405434,-0.004692432942637903,False
year,2023,2,348898,-0.004232373345772432,-0.004229672615830025,False
year,2024,2,351575,-0.01305391293620114,-0.013043104505952037,False
year,2025,2,163251,0.010658923945054416,0.010639912185027483,False
year,2019,3,7020,0.06155641995150419,0.06157415771792003,False
year,2020,3,339985,-0.002129166795949456,-0.0021167794781571823,False
year,2021,3,347034,-0.003188351173771862,-0.0031859043393355326,False
year,2022,3,348874,-0.0008929140163664507,-0.0008934586224583924,False
year,2023,3,348540,-0.0012366072563890472,-0.0012354392852852252,False
year,2024,3,351240,0.00024653060889278294,0.000246300087995483,False
year,2025,3,163106,-0.002597950813652293,-0.0025894717007806873,False
year,2019,4,6911,0.0478224106255873,0.047848932559713536,False
year,2020,4,339217,0.0020114626519647017,0.0019974256737445325,False
year,2021,4,346457,0.0012045960615724718,0.001203690067980215,False
year,2022,4,348515,3.12298829135398e-05,3.1238758490604534e-05,False
year,2023,4,348188,0.007883075606696295,0.007873391703173395,False
year,2024,4,350908,0.010613655315997004,0.010599900478170445,False
year,2025,4,162961,0.013160674796274032,0.013120794612574559,False
year,2019,5,6807,-0.0324459436390299,-0.03248057672169265,False
year,2020,5,338488,-0.007550292863353589,-0.007489073784496227,False
year,2021,5,345906,0.0060204334554479245,0.006015823572796025,False
year,2022,5,348162,-0.0021463019236390803,-0.0021465413115104985,False
year,2023,5,347844,-0.008314167112893851,-0.008302904995002167,False
year,2024,5,350578,-0.0052454608350629974,-0.0052368156551692935,False
year,2025,5,162816,-0.00645762980170072,-0.0064356325624479824,False
year,2019,6,6709,0.021426998416228905,0.02145361610658622,False
year,2020,6,337786,0.009895688216811582,0.00981467583908734,False
year,2021,6,345376,-0.008539587015771458,-0.00853376768274661,False
year,2022,6,347814,-0.006553813113096891,-0.006553891295262367,False
year,2023,6,347503,-0.007103710725339603,-0.007093652945510439,False
year,2024,6,350249,-0.0026790594736196055,-0.0026744138035376098,False
year,2025,6,162672,0.013473993894281099,0.013421267469275197,False
year,2019,7,6617,0.030223979501490205,0.030247513866991517,False
year,2020,7,337102,0.007135685415809759,0.0070731240050479855,False
year,2021,7,344856,-0.0029922343835618757,-0.0029903475201720313,False
year,2022,7,347469,-0.0031605254033899867,-0.0031601264593776996,False
year,2023,7,347166,0.004450555060683502,0.004443535923159005,False
year,2024,7,349921,-0.008436032082509409,-0.008420508834803895,False
year,2025,7,162528,-0.00837065369315131,-0.00833164706624209,False
year,2019,8,6529,-0.014380738428264747,-0.014395885346340308,False
year,2020,8,336432,0.0016726258616725775,0.0016569931200204988,False
year,2021,8,344349,0.006955114885749542,0.006953841864681091,False
year,2022,8,347129,0.00046143172832297213,0.0004613181563404656,False
year,2023,8,346833,-0.0038045999417608864,-0.0037979527936216214,False
year,2024,8,349596,0.0008245168009455674,0.0008230075487037917,False
year,2025,8,162385,-0.008111279384505413,-0.008070410538262072,False
year,2019,9,6446,0.011977598601199521,0.012001007123410934,False
year,2020,9,335776,-0.013124243499042518,-0.01300237176026129,False
year,2021,9,343849,-0.006394069995821297,-0.006393484907896486,False
year,2022,9,346791,-0.0004477461324626553,-0.0004475936914488966,False
year,2023,9,346503,0.0027291946265618006,0.00272438493022826,False
year,2024,9,349273,-0.006565767135085167,-0.006552699707850939,False
year,2025,9,162242,-0.010997744922604026,-0.010940516562990837,False
year,2019,10,6372,0.021416651873279978,0.02144754399965617,False
year,2020,10,335127,0.0015583637041741304,0.0015435726875099838,False
year,2021,10,343357,0.0018886905316124953,0.0018889383076237853,False
year,2022,10,346456,0.003886375123559953,0.0038847011591414734,False
year,2023,10,346178,0.0056765932641981535,0.005666022598846524,False
year,2024,10,348958,-0.003978559948815352,-0.003969968246514978,False
year,2025,10,162100,0.010738123078167745,0.010673419026696749,False
year,2019,11,6299,0.054444982279728306,0.054617788655431355,False
year,2020,11,334485,0.008818709776406688,0.008732680511844242,False
year,2021,11,342871,-0.005966041346142397,-0.005969549158766517,False
year,2022,11,346125,0.00012070323868111898,0.00012064717592764956,False
year,2023,11,345853,-0.0007667484028976131,-0.0007651792262660034,False
year,2024,11,348645,-0.0034695852295689683,-0.003462145844692104,False
year,2025,11,161960,0.005819965995642689,0.005784992116250302,False
year,2019,12,6229,-0.012362055811680954,-0.012404158248088454,False
year,2020,12,333852,0.0008961949563511345,0.0008873553177035522,False
year,2021,12,342398,0.002309061061523093,0.00231056064681768,False
year,2022,12,345795,0.0004649603418104833,0.0004647093241790435,False
year,2023,12,345529,-0.00029753618240611456,-0.00029690664202424214,False
year,2024,12,348332,0.0029165362159113304,0.0029105998615154005,False
year,2025,12,161820,0.002776833238954348,0.002759323935654613,False
year,2019,13,6162,0.009772594804549213,0.0098122507952532,False
year,2020,13,333230,-0.0032217950122232866,-0.00319209318594598,False
year,2021,13,341930,-0.0008260738070738065,-0.0008268400390894676,False
year,2022,13,345469,0.0026789339602401973,0.002677402997675005,False
year,2023,13,345207,-0.00422055123969029,-0.004211419731140013,False
year,2024,13,348022,0.0038797607635318093,0.0038723063093934365,False
year,2025,13,161680,-0.013287505086782147,-0.01320217247863186,False
year,2019,14,6096,0.06055379645234582,0.060903791896704716,False
year,2020,14,332618,-0.0003361678237998594,-0.0003335050512907338,False
year,2021,14,341467,-0.006768026115286746,-0.006777115033663624,False
year,2022,14,345146,0.0007734374313273634,0.0007728957312801531,False
year,2023,14,344889,0.0033786561321753387,0.0033711117107973806,False
year,2024,14,347715,0.004007640371421812,0.003999971848504608,False
year,2025,14,161540,-0.008098605041078673,-0.008046463541707618,False
year,2019,15,6032,0.016427312577268635,0.0166274689436801,False
year,2020,15,332009,-0.007836808746283964,-0.007795845428372356,False
year,2021,15,341009,0.011333262513763815,0.011356144246483423,False
year,2022,15,344829,0.010393562973173674,0.010385212797524005,False
year,2023,15,344574,0.001312600396014073,0.0013095238200221194,False
year,2024,15,347409,0.007875686847773896,0.007860932642549789,False
year,2025,15,161401,-0.007852257566887417,-0.0078012899933902575,False
year,2019,16,5970,-0.023130341155155873,-0.02357189087628118,False
year,2020,16,331404,0.010883294810746803,0.010855174702325122,False
year,2021,16,340556,-0.009623934105967714,-0.009655157352133643,False
year,2022,16,344517,-0.005411964375204074,-0.005407320919298068,False
year,2023,16,344260,-0.004121270888923395,-0.0041101432430883265,False
year,2024,16,347105,-0.0033517591585189165,-0.003345282188375266,False
year,2025,16,161262,-0.001393400090869365,-0.0013844585167664748,False
year,2019,17,5912,-0.013632321732075627,-0.01390796599154673,False
year,2020,17,330805,0.0011784334233321267,0.0011760423733981728,False
year,2021,17,340109,-0.0014629346238466828,-0.0014681752782325413,False
year,2022,17,344207,-0.002132391495496946,-0.002130439179769291,False
year,2023,17,343948,-0.0024814709640461775,-0.0024746607867167938,False
year,2024,17,346804,0.003122134128671598,0.003115920744552131,False
year,2025,17,161123,-0.002832585534170617,-0.0028135236423493084,False
year,2019,18,5855,-0.001247123327729696,-0.0012730817437440064,False
year,2020,18,330208,0.004405327340342291,0.004402470799696652,False
year,2021,18,339667,-0.004316145288796829,-0.004332469203916564,False
year,2022,18,343899,0.002569888673172204,0.0025676572383824857,False
year,2023,18,343638,-0.002099577497310501,-0.0020933742895543894,False
year,2024,18,346503,-0.00010020951553914955,-0.00010001174423320565,False
year,2025,18,160984,-0.0014464007353371386,-0.0014384764864451502,False
year,2019,19,5798,-0.036606042920507245,-0.03745810328174134,False
year,2020,19,329619,0.006450965111237266,0.006449669028002283,False
year,2021,19,339229,-0.0050720262749430695,-0.0050929282879199535,False
year,2022,19,343593,0.003872648541425625,0.0038690339889462435,False
year,2023,19,343330,-0.003225406789116058,-0.0032158618246316997,False
year,2024,19,346206,-0.00303265372260212,-0.0030269095789984555,False
year,2025,19,160845,0.009007493720955403,0.008958449698752197,False
year,2019,20,5741,-0.007247638862866486,-0.007416328096879864,False
year,2020,20,329033,0.005022293829877031,0.005026144028439951,False
year,2021,20,338791,0.009609871131357303,0.009658055850236486,False
year,2022,20,343288,0.0006831595527569376,0.0006824981461170726,False
year,2023,20,343022,-0.0019365896895745013,-0.0019307959523288812,False
year,2024,20,345910,0.0025124636324646596,0.002506831223634005,False
year,2025,20,160707,0.0023807842937658683,0.002367859942626443,False
segment,00:00-02:00,1,168654,-0.013843138253249076,-0.013851822708112322,False
segment,02:00-03:00,1,84601,-0.017877615287222585,-0.017898867925540626,False
segment,03:00-08:30,1,465128,-0.0009286638706108065,-0.0009298753762866312,False
segment,08:30-09:30,1,84669,-0.01535348878651789,-0.015489130626736694,False
segment,09:30-16:02,1,537750,0.01696545478546695,0.017001327633045876,False
segment,16:02-20:00,1,235744,-0.030949033174208888,-0.029683998715559552,False
segment,20:00-24:00,1,334888,-0.0031391492241598607,-0.003131262803412502,False
segment,00:00-02:00,2,168436,-0.018333967265037342,-0.018405256076250983,False
segment,02:00-03:00,2,84547,-0.02242539732305801,-0.022455485480525995,False
segment,03:00-08:30,2,464866,-0.013504765358295312,-0.013535248772048305,False
segment,08:30-09:30,2,84650,0.011424306112994559,0.011575553487184217,False
segment,09:30-16:02,2,537715,-0.007835486168374574,-0.007874663145518707,False
