lag,rho_point,beta_point,rho_ci_lo,rho_ci_hi,beta_ci_lo,beta_ci_hi,series
1,0.005921100675958302,0.005915184560903213,-0.0002835406201457725,0.01217675141043966,-0.00028306542076533445,0.0121739233736208,r_1m
2,-0.00844524979014991,-0.008434130206968902,-0.012994112869524904,-0.003998857465138135,-0.012970744401044886,-0.003995566984066603,r_1m
5,-0.0044792849066290245,-0.004464297855076278,-0.008360343920384006,-0.00059244121790486,-0.00833257614759867,-0.0005909526037166678,r_1m
10,0.003238380747821849,0.0032246657735760928,-0.0013030045621630867,0.007034705629350568,-0.0013012909870090835,0.0070034891423564625,r_1m
20,0.0030122758082680497,0.0030103210876463813,-0.0010457494808531038,0.00704983966601151,-0.0010462268673689511,0.007047088127020708,r_1m
1,-0.0057140838148911155,-0.005707765580684052,-0.013481739981925598,0.0015466294789431372,-0.013464801316827292,0.0015454465196105256,r_tilde
2,-0.013331175176279037,-0.013317902694781678,-0.017855884741117725,-0.009092373926445125,-0.017833941018937278,-0.0090895098341937,r_tilde
5,-0.005960707689013048,-0.005946186471236776,-0.009497641088773242,-0.001530107684677926,-0.009460222298503592,-0.0015268221407602376,r_tilde
10,0.0035191964216499533,0.00350459091562783,-0.00231663843709603,0.007876149857993677,-0.002307463711373617,0.007838454126998906,r_tilde
20,0.0054283144267184705,0.00539666034329299,-0.0006107632736846932,0.010935484200187865,-0.0006070652289770332,0.010881208104411896,r_tilde
