group,lag,n_pairs,rho,beta,insufficient_sample
0,1,122424,-0.08994179475394179,-0.09184746832814865,False
0,2,90219,-0.02745484368737676,-0.02787767876349622,False
0,3,71308,0.014671587928884214,0.014892572066459409,False
0,4,58787,-0.06535485669535446,-0.0654842603096601,False
0,5,49872,-0.03578070325394038,-0.03534918261017555,False
1,1,64202,-0.09374191660827567,-0.09074260715643136,False
1,2,22983,-0.25566446989680575,-0.23774421474217175,False
1,3,8424,0.13599592982472414,0.13779711275432419,False
1,4,3178,-0.062380002104149596,-0.053283614645743306,False
1,5,1209,-0.010685312800096464,-0.008134127938906503,False
2,1,50216,-0.18894558273529724,-0.16836733815264773,False
2,2,13797,-0.09730204217101276,-0.10071262910271453,False
2,3,3901,0.07225238392705113,0.07903338708641819,False
2,4,1134,-0.34847955338446507,-0.33395869314865917,False
2,5,336,-0.45664955636085275,-0.4913985470922465,False
3,1,47262,-0.10143973974786369,-0.09758198216208819,False
3,2,12528,-0.11267423172671961,-0.1076211754109626,False
3,3,3433,0.013514615945932102,0.013439534154234118,False
3,4,974,-0.1823928699219452,-0.17690555652442713,False
3,5,280,0.2263246502294335,0.17746742939268134,False
4,1,48290,-0.08277299478399136,-0.08037023682845178,False
4,2,13081,-0.0540891491095274,-0.05492792043308905,False
4,3,3670,-0.12272736425086558,-0.12949443078355305,False
4,4,1072,-0.035818973992929076,-0.04026494995105925,False
4,5,320,0.05554220653974032,0.05749616607357667,False
5,1,52928,-0.0461408085384898,-0.043616539282518435,False
5,2,16166,0.018440925577565048,0.017694835381965972,False
5,3,5083,-0.03728462240276849,-0.036258084840802174,False
5,4,1655,-0.042748287737545076,-0.04684932613978048,False
5,5,544,-0.0592238269858268,-0.07240528757670817,False
6,1,63595,-0.07874323023065004,-0.06963578935524291,False
6,2,23695,0.014139619036417169,0.013535887745818416,False
6,3,9343,-0.06584272660168058,-0.06557933412840389,False
6,4,3813,0.03186596349771382,0.030496116180355984,False
6,5,1615,-0.02686290398506674,-0.026098359228112263,False
7,1,77632,-0.020793376032168607,-0.01915250409764403,False
7,2,35330,-0.057765262350272344,-0.05537276756979987,False
7,3,16911,-0.04749568807510578,-0.04615264226092109,False
7,4,8345,0.010019840326162252,0.009844734158760285,False
7,5,4217,-0.010927980184351292,-0.010522813551013834,False
8,1,94571,-0.001279397570215716,-0.0012019141907724147,False
8,2,51182,-0.03916607525640049,-0.03741861664565334,False
8,3,28935,-0.01648594622900245,-0.01599434976111143,False
8,4,16893,-0.022042132659850968,-0.02124913722920408,False
8,5,10084,-0.0313016211613572,-0.029966616706295805,False
9,1,143803,0.03645509408658069,0.03357228995765991,False
9,2,120555,0.0017326739757045765,0.0015717769901345414,False
9,3,106416,-0.004141778286876374,-0.003727362485230543,False
9,4,96608,0.0013776133526763532,0.0012343865629005962,False
9,5,89245,-0.005117855262818185,-0.00456843877625509,False
