minute_of_day,mean,count,window
569,3.0595936921995655e-06,1410,09:31-09:35
570,2.9264245689413577e-05,1410,09:31-09:35
571,0.00011898739478304312,1390,09:31-09:35
572,-1.4591384072573166e-05,1393,09:31-09:35
573,-1.434720153477023e-05,1393,09:31-09:35
574,6.8574795742905465e-06,1392,09:31-09:35
575,-8.742394779585344e-05,1392,09:31-09:35
576,-1.4517276458327893e-05,1393,09:31-09:35
577,-6.670665501977778e-06,1392,09:31-09:35
950,-3.1157531396117335e-05,1347,15:52-16:02
951,-4.58342756144174e-06,1347,15:52-16:02
952,-6.63945480630075e-05,1347,15:52-16:02
953,4.030570003566235e-05,1347,15:52-16:02
954,4.208403800500736e-06,1347,15:52-16:02
955,8.382324450402902e-05,1347,15:52-16:02
956,-4.509335080494904e-06,1347,15:52-16:02
957,-3.73786649078353e-05,1347,15:52-16:02
958,2.6799901386952016e-05,1347,15:52-16:02
959,1.1124094781970264e-05,1347,15:52-16:02
960,2.350380656479566e-05,1347,15:52-16:02
961,2.3040955859653174e-05,1347,15:52-16:02
962,8.366275814582371e-05,1347,15:52-16:02
963,-4.03141376795605e-05,1347,15:52-16:02
964,-3.199072019850017e-05,1347,15:52-16:02
