year_ny,mean,count,window
2019,-6.724631575721531e-05,30,09:31-09:35
2020,2.040937318515181e-05,1255,09:31-09:35
2021,-1.932131217017732e-05,1270,09:31-09:35
2022,-2.2676448657682113e-05,1270,09:31-09:35
2023,6.77886878756696e-05,1265,09:31-09:35
2024,-3.447853166700834e-05,1280,09:31-09:35
2025,1.7849457301120338e-06,590,09:31-09:35
2019,0.0001415653742657871,55,15:52-16:02
2020,3.374339987468182e-05,2706,15:52-16:02
2021,2.5310962345890927e-06,2717,15:52-16:02
2022,1.7957105117465775e-05,2706,15:52-16:02
2023,3.08114558881324e-05,2673,15:52-16:02
2024,-4.583773234546214e-06,2706,15:52-16:02
2025,2.3099670859440367e-05,1254,15:52-16:02
