variable,raw_adjusted,kind,label,rho_point,n_pairs,ci_lo,ci_hi,n_day_pairs
r,raw,continuous_lag,1,0.005921100675958302,1911434,-0.0002835406201457725,0.01217675141043966,
r,raw,continuous_lag,2,-0.00844524979014991,1908553,-0.012994112869524904,-0.003998857465138135,
r,raw,continuous_lag,5,-0.0044792849066290245,1900601,-0.008360343920384006,-0.00059244121790486,
r,raw,continuous_lag,10,0.003238380747821849,1888548,-0.0013030045621630867,0.007034705629350568,
r,raw,continuous_lag,20,0.0030122758082680497,1866492,-0.0010457494808531038,0.00704983966601151,
r,raw,continuous_lag,30,-0.00038417703786273094,1846051,-0.004191346940280787,0.0038430394362126666,
r,raw,continuous_lag,60,0.00040814854244029683,1797843,-0.0033297264961698325,0.004215673140285051,
r,raw,continuous_lag,120,0.002306352908750422,1705866,-0.000963909666930804,0.005372767187263208,
r,raw,continuous_lag,240,0.0019374695461887963,1528012,-0.0009369465916923943,0.005269193325068367,
r,raw,continuous_lag,360,-0.0019453686058633437,1354489,-0.00560372497864688,0.0015499554811050859,
r,raw,continuous_lag,480,0.00026820597112534484,1184649,-0.0033709169053225767,0.003640196095158963,
r,raw,continuous_lag,600,0.0016856447803523097,1016686,-0.0017711743476785946,0.005417252668423497,
r,adjusted,continuous_lag,1,-0.0057140838148911155,1911434,-0.013481739981925598,0.0015466294789431372,
r,adjusted,continuous_lag,2,-0.013331175176279037,1908553,-0.017855884741117725,-0.009092373926445125,
r,adjusted,continuous_lag,5,-0.005960707689013048,1900601,-0.009497641088773242,-0.001530107684677926,
r,adjusted,continuous_lag,10,0.0035191964216499533,1888548,-0.00231663843709603,0.007876149857993677,
r,adjusted,continuous_lag,20,0.0054283144267184705,1866492,-0.0006107632736846932,0.010935484200187865,
r,adjusted,continuous_lag,30,0.0018563470690309601,1846051,-0.001811284642930843,0.005738039725790822,
r,adjusted,continuous_lag,60,-0.0041217377629225475,1797843,-0.00990655509378848,0.0020634512139954568,
r,adjusted,continuous_lag,120,0.0005889680599134041,1705866,-0.003629031743795453,0.004093926548815423,
r,adjusted,continuous_lag,240,0.0004934268778591528,1528012,-0.0021026042147442086,0.0034646488276926938,
r,adjusted,continuous_lag,360,-0.002283517517062631,1354489,-0.009519108859046265,0.003554992017711229,
r,adjusted,continuous_lag,480,0.0009531430914522755,1184649,-0.003146131784832266,0.004761494817158978,
r,adjusted,continuous_lag,600,0.0009176947212749827,1016686,-0.0029591724282003176,0.0047933146982361945,
abs_r,raw,continuous_lag,1,0.42371454406001813,1911434,0.40592899686967665,0.4383305470990629,
abs_r,raw,continuous_lag,2,0.40463892245316885,1908553,0.38484728266339874,0.4213580116615271,
abs_r,raw,continuous_lag,5,0.38914085888472,1900601,0.3712563919583543,0.4061021163297884,
abs_r,raw,continuous_lag,10,0.3744348277556049,1888548,0.35530427565816214,0.3927410995056123,
abs_r,raw,continuous_lag,20,0.3492481011537035,1866492,0.33051140027907266,0.36717888252534836,
abs_r,raw,continuous_lag,30,0.339222988721413,1846051,0.3202467874131621,0.35637909818267527,
abs_r,raw,continuous_lag,60,0.31138334317230115,1797843,0.2922870728160713,0.3288944803803652,
abs_r,raw,continuous_lag,120,0.2634002447874019,1705866,0.24064766529239234,0.28282007827153505,
abs_r,raw,continuous_lag,240,0.22519699349549424,1528012,0.20137076982638646,0.24675587646059258,
abs_r,raw,continuous_lag,360,0.20306123769185702,1354489,0.18109321508466364,0.22272051060817596,
abs_r,raw,continuous_lag,480,0.18790005302067322,1184649,0.16460493997865755,0.2111839741064072,
abs_r,raw,continuous_lag,600,0.17126263031072284,1016686,0.14512973901455833,0.19414887101515227,
abs_r,adjusted,continuous_lag,1,0.3979313402272932,1911434,0.3687925889887546,0.4188266996261223,
abs_r,adjusted,continuous_lag,2,0.3730495572559014,1908553,0.34048080589316687,0.39750424430333353,
abs_r,adjusted,continuous_lag,5,0.35410026044283516,1900601,0.32027865548997947,0.38135994266888384,
abs_r,adjusted,continuous_lag,10,0.3387416742049737,1888548,0.3052156531054486,0.36530318758717717,
abs_r,adjusted,continuous_lag,20,0.3246071849308364,1866492,0.28911050619201667,0.3534086819662591,
abs_r,adjusted,continuous_lag,30,0.3145165443027966,1846051,0.2796325981745798,0.34303910688052924,
abs_r,adjusted,continuous_lag,60,0.2921831356765359,1797843,0.25866229542376973,0.31977566351188197,
abs_r,adjusted,continuous_lag,120,0.2681281850750159,1705866,0.23916194806562913,0.29242733392127834,
abs_r,adjusted,continuous_lag,240,0.2484661591441526,1528012,0.220091676860527,0.27383582351390157,
abs_r,adjusted,continuous_lag,360,0.23145506622606643,1354489,0.20574284939172097,0.2569251195422845,
abs_r,adjusted,continuous_lag,480,0.21340375866694025,1184649,0.18849803078406885,0.23579933578529547,
abs_r,adjusted,continuous_lag,600,0.20187634245677172,1016686,0.17761870196248616,0.22603991604364762,
log_hl,raw,continuous_lag,1,0.7593772069520319,1914530,0.7470588532696993,0.7696396967271301,
log_hl,raw,continuous_lag,2,0.7248390529034273,1911434,0.7115084348185249,0.7371915423261833,
log_hl,raw,continuous_lag,5,0.699329692127209,1903157,0.6849780398248477,0.7121307916746124,
log_hl,raw,continuous_lag,10,0.6697568482430396,1890880,0.6539920557816756,0.6841158832866234,
log_hl,raw,continuous_lag,20,0.6308871666125406,1868620,0.6132184267962429,0.6471227243464769,
log_hl,raw,continuous_lag,30,0.6135056054533282,1847740,0.5956299871533877,0.6296690557955492,
log_hl,raw,continuous_lag,60,0.5630279529479381,1799414,0.5423378716445557,0.5818668214571272,
log_hl,raw,continuous_lag,120,0.47156660426490316,1707373,0.44551266479507146,0.4950400191329357,
log_hl,raw,continuous_lag,240,0.4046939366961787,1529475,0.37403054512131795,0.4314200432033446,
log_hl,raw,continuous_lag,360,0.36747310685195417,1355919,0.33625000495193963,0.3940539260783305,
log_hl,raw,continuous_lag,480,0.3532285414766763,1186056,0.3166397959345884,0.38700481987973523,
log_hl,raw,continuous_lag,600,0.3169659750939131,1018081,0.2756397019626342,0.3543667608162394,
log_hl,adjusted,continuous_lag,1,0.7171785679211872,1914530,0.6921460849071999,0.7332837751233773,
log_hl,adjusted,continuous_lag,2,0.6781966967256158,1911434,0.6519809048749999,0.6977834523806103,
log_hl,adjusted,continuous_lag,5,0.6457367571408384,1903157,0.6181837818451417,0.6677562913488808,
log_hl,adjusted,continuous_lag,10,0.6223387322987834,1890880,0.5937487200233204,0.6463069201047584,
log_hl,adjusted,continuous_lag,20,0.5983229123082746,1868620,0.5680370589546718,0.6248403498885113,
log_hl,adjusted,continuous_lag,30,0.5830502754293162,1847740,0.5536936967367198,0.60838464860313,
log_hl,adjusted,continuous_lag,60,0.5494749040301012,1799414,0.5180014963217413,0.5762650824879143,
log_hl,adjusted,continuous_lag,120,0.5021353154783731,1707373,0.47170596832093203,0.5284122987192262,
log_hl,adjusted,continuous_lag,240,0.4685480479560058,1529475,0.43753701013308216,0.4976895598464874,
log_hl,adjusted,continuous_lag,360,0.44728012379553445,1355919,0.41032946580905505,0.4783061898820382,
log_hl,adjusted,continuous_lag,480,0.428163673373929,1186056,0.3898608767286052,0.4622040934639808,
log_hl,adjusted,continuous_lag,600,0.40448675354969843,1018081,0.36427031613164096,0.4425591731803762,
abs_r,raw,same_clock_next_trading_day,SAME_CLOCK_NEXT_DAY,0.31095060947164493,1881044,0.2990124201867963,0.3229688102492422,1419.0
abs_r,adjusted,same_clock_next_trading_day,SAME_CLOCK_NEXT_DAY,0.22585054252795428,1881044,0.20475769482975353,0.24641219105775858,1419.0
log_hl,raw,same_clock_next_trading_day,SAME_CLOCK_NEXT_DAY,0.5648123391127896,1885567,0.5515239258333251,0.5793851264708871,1419.0
log_hl,adjusted,same_clock_next_trading_day,SAME_CLOCK_NEXT_DAY,0.41425991464236656,1885567,0.38430154857212584,0.44203005467441614,1419.0
