variable,raw_adjusted,kind_of_row,lag,rho_real_abs,n_null1_replicas,null1_p50,null1_p975,percentile_of_real_in_null1,exceeds_calibration_threshold,Q_null1_p50,Q_null1_p975,Q_real
abs_r,raw,rho_calibration,1,0.42371454406001813,200,0.11776586832004002,0.11948431951844415,100.0,True,,,
abs_r,raw,rho_calibration,2,0.40463892245316885,200,0.11411707373470924,0.11568972085864539,100.0,True,,,
abs_r,raw,rho_calibration,5,0.38914085888472,200,0.11335704470588592,0.1148823370866998,100.0,True,,,
abs_r,raw,rho_calibration,10,0.3744348277556049,200,0.10730826135575727,0.10906016845869232,100.0,True,,,
abs_r,raw,rho_calibration,20,0.3492481011537035,200,0.09819017403001445,0.09995734417496625,100.0,True,,,
abs_r,raw,rho_calibration,30,0.339222988721413,200,0.09530482704278538,0.09681697070414098,100.0,True,,,
abs_r,raw,rho_calibration,60,0.31138334317230115,200,0.08534884292882877,0.08704258891769316,100.0,True,,,
abs_r,raw,portmanteau_calibration,10,,200,,,100.0,True,232861.44784784305,234530.07109931586,2871232.04631857
abs_r,raw,portmanteau_calibration,20,,200,,,100.0,True,420368.45213488117,423161.06590073556,5252707.763659944
abs_r,raw,portmanteau_calibration,40,,200,,,100.0,True,720351.4212309032,724142.5160647464,9343262.779010285
abs_r,raw,portmanteau_calibration,60,,200,,,100.0,True,955459.7220729326,960724.6406745989,12787826.639368387
abs_r,adjusted,rho_calibration,1,0.3979313402272932,200,0.0036464267268892956,0.005295418869452601,100.0,True,,,
abs_r,adjusted,rho_calibration,2,0.3730495572559014,200,0.0035721465624939256,0.005191720134841908,100.0,True,,,
abs_r,adjusted,rho_calibration,5,0.35410026044283516,200,0.0033718210320226897,0.0049805315443115705,100.0,True,,,
abs_r,adjusted,rho_calibration,10,0.3387416742049737,200,0.003447050669344298,0.00485867618181974,100.0,True,,,
abs_r,adjusted,rho_calibration,20,0.3246071849308364,200,0.0031693894378623396,0.00488854095613349,100.0,True,,,
abs_r,adjusted,rho_calibration,30,0.3145165443027966,200,0.003077997783403611,0.004675216131183364,100.0,True,,,
abs_r,adjusted,rho_calibration,60,0.2921831356765359,200,0.0026933770596202136,0.0040727412653146534,100.0,True,,,
abs_r,adjusted,portmanteau_calibration,10,,200,,,100.0,True,234.7835445054326,309.78928480666065,2422120.637417351
abs_r,adjusted,portmanteau_calibration,20,,200,,,100.0,True,449.6959520452107,541.1799542475715,4476411.880812459
abs_r,adjusted,portmanteau_calibration,40,,200,,,100.0,True,810.7971887257025,921.7663111328438,8131164.573844032
abs_r,adjusted,portmanteau_calibration,60,,200,,,100.0,True,1123.3620051437451,1247.4849382876544,11349420.971457407
log_hl,raw,rho_calibration,1,0.7593772069520319,200,0.23193025019367208,0.23339020017720682,100.0,True,,,
log_hl,raw,rho_calibration,2,0.7248390529034273,200,0.22633665915345966,0.2277333616668381,100.0,True,,,
log_hl,raw,rho_calibration,5,0.699329692127209,200,0.2237426108675336,0.2250802965570398,100.0,True,,,
log_hl,raw,rho_calibration,10,0.6697568482430396,200,0.2129344857451369,0.21405766612354976,100.0,True,,,
log_hl,raw,rho_calibration,20,0.6308871666125406,200,0.19596288971643286,0.19751393207434179,100.0,True,,,
log_hl,raw,rho_calibration,30,0.6135056054533282,200,0.18979919804907242,0.19115355551515256,100.0,True,,,
log_hl,raw,rho_calibration,60,0.5630279529479381,200,0.1694238392837626,0.17054641115890132,100.0,True,,,
log_hl,raw,portmanteau_calibration,10,,200,,,100.0,True,915654.9221664136,919501.7255853756,9271492.727595573
log_hl,raw,portmanteau_calibration,20,,200,,,100.0,True,1667277.541819837,1672748.1579405353,17028987.83777487
log_hl,raw,portmanteau_calibration,40,,200,,,100.0,True,2876629.0013420703,2886304.4042596607,30404861.274591986
log_hl,raw,portmanteau_calibration,60,,200,,,100.0,True,3827497.5354067357,3839689.9250975777,41774587.57267642
log_hl,adjusted,rho_calibration,1,0.7171785679211872,200,0.004842771998610605,0.006343100883310123,100.0,True,,,
log_hl,adjusted,rho_calibration,2,0.6781966967256158,200,0.004618455580396067,0.006122238863660065,100.0,True,,,
log_hl,adjusted,rho_calibration,5,0.6457367571408384,200,0.0042655441537797715,0.0056018397199606,100.0,True,,,
log_hl,adjusted,rho_calibration,10,0.6223387322987834,200,0.004101767295315048,0.005748494455205151,100.0,True,,,
log_hl,adjusted,rho_calibration,20,0.5983229123082746,200,0.003916851552799456,0.005473502258728131,100.0,True,,,
log_hl,adjusted,rho_calibration,30,0.5830502754293162,200,0.003501355248227387,0.005289062523044503,100.0,True,,,
log_hl,adjusted,rho_calibration,60,0.5494749040301012,200,0.0029791056377941995,0.004385175848082908,100.0,True,,,
log_hl,adjusted,portmanteau_calibration,10,,200,,,100.0,True,365.813334434842,443.45654235719496,8079374.794622567
log_hl,adjusted,portmanteau_calibration,20,,200,,,100.0,True,679.5007691810944,772.1350506869289,15007544.041468428
log_hl,adjusted,portmanteau_calibration,40,,200,,,100.0,True,1170.52056043079,1307.9253135960855,27498776.20398043
log_hl,adjusted,portmanteau_calibration,60,,200,,,100.0,True,1570.2619704274466,1737.398457644313,38744211.438151434
