variable,raw_adjusted,group,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
abs_r,raw,2019,1,7268,0.42656940830522316,0.4270995949679204,False,50.0,0.2973736126135428,0.4840625502315129
abs_r,raw,2020,1,341661,0.44668228675422683,0.4451892282852919,False,50.0,0.42094099856703526,0.46240393556837484
abs_r,raw,2021,1,348320,0.38780245291806087,0.3876165372224374,False,50.0,0.37470484168120977,0.39848392026487717
abs_r,raw,2022,1,349610,0.34960358039463174,0.34994949441721396,False,50.0,0.33553180338157473,0.3644086153676485
abs_r,raw,2023,1,349264,0.3787743184129603,0.37864212365944844,False,50.0,0.3652682978138915,0.39187293605538087
abs_r,raw,2024,1,351915,0.37759748506279706,0.37749446395446123,False,50.0,0.3576007006934254,0.3937098983793959
abs_r,raw,2025,1,163396,0.43624724231329043,0.43551229327260055,False,50.0,0.388361129871904,0.46872619138508453
abs_r,raw,2019,5,6807,0.35400586383930954,0.35503277919462223,False,,,
abs_r,raw,2020,5,338488,0.4192746825342663,0.41502059963337007,False,,,
abs_r,raw,2021,5,345906,0.3534852073769313,0.3533068877491525,False,,,
abs_r,raw,2022,5,348162,0.30339840807121593,0.30378899793794467,False,,,
abs_r,raw,2023,5,347844,0.34413172776760187,0.34373800816805616,False,,,
abs_r,raw,2024,5,350578,0.3420759723192408,0.3415347682285207,False,,,
abs_r,raw,2025,5,162816,0.3987238701215894,0.3973033470696114,False,,,
abs_r,raw,2019,20,5741,0.26406472314744905,0.271038119942787,False,,,
abs_r,raw,2020,20,329033,0.3866425600316703,0.386627465535166,False,,,
abs_r,raw,2021,20,338791,0.3100498917769306,0.3119147202356151,False,,,
abs_r,raw,2022,20,343288,0.25700605494654866,0.25727922757510946,False,,,
abs_r,raw,2023,20,343022,0.3019462284073391,0.3011930036069211,False,,,
abs_r,raw,2024,20,345910,0.2989438868493733,0.2984849447191654,False,,,
abs_r,raw,2025,20,160707,0.35464282469562947,0.35296018906508825,False,,,
abs_r,raw,2019,60,4546,0.14731969238727396,0.15469417756298937,False,,,
abs_r,raw,2020,60,314305,0.36111104602487815,0.37380398896120254,False,,,
abs_r,raw,2021,60,325776,0.27257022414918874,0.27900322815633427,False,,,
abs_r,raw,2022,60,331808,0.21332696205889304,0.21577729359842776,False,,,
abs_r,raw,2023,60,331543,0.26015757931110417,0.263346200709696,False,,,
abs_r,raw,2024,60,334497,0.2615964249430236,0.26774757304021385,False,,,
abs_r,raw,2025,60,155368,0.30010740596070834,0.30040170547390094,False,,,
abs_r,adjusted,2019,1,7268,0.1970301718424039,0.19726327613095254,False,50.0,0.14645858613366974,0.24141666448077587
abs_r,adjusted,2020,1,341661,0.43942505138164256,0.4382588079073121,False,50.0,0.4031641601674927,0.4606365123597894
