variable,raw_adjusted,group,lag,n_pairs,rho,beta,insufficient_sample
abs_r,raw,00:00-02:00,1,168654,0.4341051492127311,0.43415346560694545,False
abs_r,raw,02:00-03:00,1,84601,0.37738054867691817,0.3775164812662909,False
abs_r,raw,03:00-08:30,1,465128,0.3623341388917421,0.36298290257923743,False
abs_r,raw,08:30-09:30,1,84669,0.3019050037577515,0.3045766338997963,False
abs_r,raw,09:30-16:02,1,537750,0.35490227901982696,0.35580609943061847,False
abs_r,raw,16:02-20:00,1,235744,0.4558721249178882,0.43437615497906973,False
abs_r,raw,20:00-24:00,1,334888,0.40619082007748897,0.4049228078218124,False
abs_r,raw,00:00-02:00,5,167912,0.38594408571570893,0.3899339622734171,False
abs_r,raw,02:00-03:00,5,84411,0.3393769472283925,0.3401648012412785,False
abs_r,raw,03:00-08:30,5,464236,0.326438149373641,0.327720028521785,False
abs_r,raw,08:30-09:30,5,84609,0.2011745607975246,0.20377968057578427,False
abs_r,raw,09:30-16:02,5,537620,0.3350759204506353,0.3374449688393373,False
abs_r,raw,16:02-20:00,5,228082,0.36767303480246355,0.3197705595562997,False
abs_r,raw,20:00-24:00,5,333731,0.3641933581726621,0.3618821436616525,False
abs_r,raw,00:00-02:00,20,166560,0.36842282490741174,0.3850012693677604,False
abs_r,raw,02:00-03:00,20,83964,0.32080673407298843,0.3170850994137616,False
abs_r,raw,03:00-08:30,20,462252,0.3030662283969605,0.30824872027210115,False
abs_r,raw,08:30-09:30,20,84465,0.14787408452770662,0.14826553868873993,False
abs_r,raw,09:30-16:02,20,537220,0.29561340438945155,0.30322465466695353,False
abs_r,raw,16:02-20:00,20,200561,0.2995711643092954,0.22455906579579238,False
abs_r,raw,20:00-24:00,20,331470,0.3274091902865925,0.3246606303214421,False
abs_r,raw,00:00-02:00,60,164968,0.3284032029631118,0.3718114008382728,False
abs_r,raw,02:00-03:00,60,83064,0.32732955237695055,0.34907029280660684,False
abs_r,raw,03:00-08:30,60,459669,0.28586392578645836,0.29298275932880624,False
abs_r,raw,08:30-09:30,60,84110,0.16266187392770756,0.28003204028618983,False
abs_r,raw,09:30-16:02,60,536260,0.2441244545505908,0.24385664719763894,False
abs_r,raw,16:02-20:00,60,141380,0.2176744718075336,0.16046075414112548,False
abs_r,raw,20:00-24:00,60,328392,0.312804574776835,0.30550378817917306,False
abs_r,adjusted,00:00-02:00,1,168654,0.43092117953882936,0.43050396440268546,False
abs_r,adjusted,02:00-03:00,1,84601,0.3768439080721231,0.3760120152367805,False
abs_r,adjusted,03:00-08:30,1,465128,0.36346537637084003,0.36391756084153914,False
abs_r,adjusted,08:30-09:30,1,84669,0.35035099007527626,0.3500163704388907,False
abs_r,adjusted,09:30-16:02,1,537750,0.3491629423775673,0.34935679919579243,False
abs_r,adjusted,16:02-20:00,1,235744,0.44501948552399895,0.4428660365796379,False
abs_r,adjusted,20:00-24:00,1,334888,0.4083166800439587,0.40721053328646123,False
abs_r,adjusted,00:00-02:00,5,167912,0.38716590979601406,0.38818966022020235,False
abs_r,adjusted,02:00-03:00,5,84411,0.34538068845657177,0.34011727492133964,False
abs_r,adjusted,03:00-08:30,5,464236,0.32713456696010157,0.32710408354767023,False
abs_r,adjusted,08:30-09:30,5,84609,0.2642952578052761,0.2628104598503866,False
abs_r,adjusted,09:30-16:02,5,537620,0.33016356638668776,0.3308663272744056,False
abs_r,adjusted,16:02-20:00,5,228082,0.37431217797267297,0.37010679635423593,False
abs_r,adjusted,20:00-24:00,5,333731,0.37033419915839083,0.3692000499997219,False
abs_r,adjusted,00:00-02:00,20,166560,0.37008093734458053,0.3701796512545643,False
abs_r,adjusted,02:00-03:00,20,83964,0.32888996219381017,0.3009883250103273,False
abs_r,adjusted,03:00-08:30,20,462252,0.308317476280494,0.30751096578318515,False
abs_r,adjusted,08:30-09:30,20,84465,0.21877512936835256,0.21051755532935923,False
abs_r,adjusted,09:30-16:02,20,537220,0.30998973751563785,0.31067817398345815,False
abs_r,adjusted,16:02-20:00,20,200561,0.32330489008959706,0.3165736546490503,False
abs_r,adjusted,20:00-24:00,20,331470,0.337147877888921,0.3411227236059932,False
abs_r,adjusted,00:00-02:00,60,164968,0.3303593783118127,0.3355870939668131,False
abs_r,adjusted,02:00-03:00,60,83064,0.3271341437581319,0.2662048461449047,False
abs_r,adjusted,03:00-08:30,60,459669,0.2869497755737874,0.282319026962093,False
abs_r,adjusted,08:30-09:30,60,84110,0.19610386160909168,0.21257931408922826,False
abs_r,adjusted,09:30-16:02,60,536260,0.2649444623014746,0.25282311311007166,False
abs_r,adjusted,16:02-20:00,60,141380,0.2596088663960841,0.27538713936641923,False
abs_r,adjusted,20:00-24:00,60,328392,0.31615859901883747,0.32469637556817194,False
log_hl,raw,00:00-02:00,1,168922,0.7356008488637893,0.7360341153330829,False
log_hl,raw,02:00-03:00,1,84663,0.7003361514345319,0.6996331013241529,False
log_hl,raw,03:00-08:30,1,465442,0.6939647469226294,0.6947677549990066,False
log_hl,raw,08:30-09:30,1,84694,0.5687613090691958,0.5687558743586059,False
log_hl,raw,09:30-16:02,1,537786,0.7246168371975527,0.723486159997558,False
log_hl,raw,16:02-20:00,1,237735,0.7235729025514664,0.6571354048097928,False
log_hl,raw,20:00-24:00,1,335288,0.7149750110991034,0.7142674031797263,False
log_hl,raw,00:00-02:00,5,168069,0.6688675927586546,0.6757691806207095,False
log_hl,raw,02:00-03:00,5,84453,0.6381019032440682,0.6345594139609807,False
log_hl,raw,03:00-08:30,5,464426,0.6278089240576731,0.6302884802115144,False
log_hl,raw,08:30-09:30,5,84622,0.39700021415601444,0.3996226182103027,False
log_hl,raw,09:30-16:02,5,537651,0.6740051496296554,0.6754020194767011,False
log_hl,raw,16:02-20:00,5,229964,0.5983758644123869,0.49363012211029295,False
log_hl,raw,20:00-24:00,5,333972,0.6492471098477034,0.6456157139445128,False
log_hl,raw,00:00-02:00,20,166621,0.6352116944043367,0.6594575303211808,False
log_hl,raw,02:00-03:00,20,83988,0.596702016076533,0.5866595169877865,False
log_hl,raw,03:00-08:30,20,462351,0.5858742545391346,0.5953254728048425,False
log_hl,raw,08:30-09:30,20,84475,0.2955419773705653,0.29440404126797676,False
log_hl,raw,09:30-16:02,20,537245,0.5921831199833071,0.6009859059261359,False
log_hl,raw,16:02-20:00,20,202362,0.48767505600072675,0.3467720808466001,False
log_hl,raw,20:00-24:00,20,331578,0.6079271320656908,0.603246430872388,False
log_hl,raw,00:00-02:00,60,165014,0.5768564066245175,0.6399763698501217,False
log_hl,raw,02:00-03:00,60,83079,0.598889496855037,0.6215274514219049,False
log_hl,raw,03:00-08:30,60,459720,0.5586188232608683,0.5731570920058618,False
log_hl,raw,08:30-09:30,60,84119,0.3313968815489427,0.5604862329598015,False
log_hl,raw,09:30-16:02,60,536285,0.4808363643796637,0.474400619725197,False
log_hl,raw,16:02-20:00,60,142754,0.38738568815418367,0.26986397974465454,False
log_hl,raw,20:00-24:00,60,328443,0.5667599000757683,0.5563692953702315,False
log_hl,adjusted,00:00-02:00,1,168922,0.7328095656927881,0.7316566377660078,False
log_hl,adjusted,02:00-03:00,1,84663,0.7053691634642676,0.7024972078316534,False
log_hl,adjusted,03:00-08:30,1,465442,0.6970283291722297,0.6973415523930133,False
log_hl,adjusted,08:30-09:30,1,84694,0.6510115723180557,0.6463114299185067,False
log_hl,adjusted,09:30-16:02,1,537786,0.7291470588890449,0.7285555991887699,False
log_hl,adjusted,16:02-20:00,1,237735,0.7237668686983083,0.7205003404092791,False
log_hl,adjusted,20:00-24:00,1,335288,0.719561624585627,0.7193092493548155,False
log_hl,adjusted,00:00-02:00,5,168069,0.6675004277502586,0.6675950386992708,False
log_hl,adjusted,02:00-03:00,5,84453,0.6463564342512298,0.6296663402695953,False
log_hl,adjusted,03:00-08:30,5,464426,0.6323689136394349,0.6320427816095323,False
log_hl,adjusted,08:30-09:30,5,84622,0.5203037448102071,0.5173215919290709,False
log_hl,adjusted,09:30-16:02,5,537651,0.6819152450014578,0.6822712720904283,False
log_hl,adjusted,16:02-20:00,5,229964,0.6215661550220377,0.6146712698791257,False
log_hl,adjusted,20:00-24:00,5,333972,0.6572952956458384,0.6560697072819813,False
log_hl,adjusted,00:00-02:00,20,166621,0.6363591179424117,0.6320572316818414,False
log_hl,adjusted,02:00-03:00,20,83988,0.6149312963717354,0.5597592116303489,False
log_hl,adjusted,03:00-08:30,20,462351,0.5974728312298077,0.5947640948218226,False
log_hl,adjusted,08:30-09:30,20,84475,0.4299330505502897,0.4144256548872928,False
log_hl,adjusted,09:30-16:02,20,537245,0.6364461432268093,0.6356184623752074,False
log_hl,adjusted,16:02-20:00,20,202362,0.5335457335148449,0.5192052594911751,False
log_hl,adjusted,20:00-24:00,20,331578,0.6219636560470365,0.6290978688800335,False
log_hl,adjusted,00:00-02:00,60,165014,0.581157957196463,0.5793100607468046,False
log_hl,adjusted,02:00-03:00,60,83079,0.5980739535701484,0.4720083822441008,False
log_hl,adjusted,03:00-08:30,60,459720,0.5680278536405896,0.5590504350911764,False
log_hl,adjusted,08:30-09:30,60,84119,0.3967590813682516,0.4292705017450537,False
log_hl,adjusted,09:30-16:02,60,536285,0.5444670897723054,0.5168280204870384,False
log_hl,adjusted,16:02-20:00,60,142754,0.4595012996341872,0.48223262345011336,False
log_hl,adjusted,20:00-24:00,60,328443,0.5759304996360022,0.5943549138990346,False
