variable,raw_adjusted,m,Q,estimable,note,calibration_status
r,raw,10,378.18213916706895,True,,NOT_G2_CALIBRATED
r,raw,20,445.4252493583808,True,,NOT_G2_CALIBRATED
r,raw,40,612.1442285881908,True,,NOT_G2_CALIBRATED
r,raw,60,718.9923039648746,True,,NOT_G2_CALIBRATED
r,raw,120,1041.8840063782957,True,,NOT_G2_CALIBRATED
r,raw,240,1781.0956690104408,True,,NOT_G2_CALIBRATED
r,raw,480,2736.6708023348447,True,,NOT_G2_CALIBRATED
r,raw,600,3267.2194404040365,True,,NOT_G2_CALIBRATED
r,adjusted,10,590.2487484321176,True,,NOT_G2_CALIBRATED
r,adjusted,20,807.4248914376244,True,,NOT_G2_CALIBRATED
r,adjusted,40,997.6410159288321,True,,NOT_G2_CALIBRATED
r,adjusted,60,1302.7976691289073,True,,NOT_G2_CALIBRATED
r,adjusted,120,1986.6238938778106,True,,NOT_G2_CALIBRATED
r,adjusted,240,2984.7079524359388,True,,NOT_G2_CALIBRATED
r,adjusted,480,4275.723795169239,True,,NOT_G2_CALIBRATED
r,adjusted,600,4835.066645813042,True,,NOT_G2_CALIBRATED
abs_r,raw,10,2871232.04631857,True,,G2_CALIBRATED
abs_r,raw,20,5252707.763659944,True,,G2_CALIBRATED
abs_r,raw,40,9343262.779010285,True,,G2_CALIBRATED
abs_r,raw,60,12787826.639368387,True,,G2_CALIBRATED
abs_r,raw,120,20897007.46596174,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,raw,240,31393915.78687567,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,raw,480,44128678.898176685,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,raw,600,48214023.36108385,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,adjusted,10,2422120.637417351,True,,G2_CALIBRATED
abs_r,adjusted,20,4476411.880812459,True,,G2_CALIBRATED
abs_r,adjusted,40,8131164.573844032,True,,G2_CALIBRATED
abs_r,adjusted,60,11349420.971457407,True,,G2_CALIBRATED
abs_r,adjusted,120,19404399.744165275,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,adjusted,240,31798909.12151593,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,adjusted,480,49201262.24778861,True,,DESCRIPTIVE_UNCALIBRATED
abs_r,adjusted,600,54924084.26286458,True,,DESCRIPTIVE_UNCALIBRATED
r2,raw,10,241935.12108816454,True,,NOT_G2_CALIBRATED
r2,raw,20,355042.4463449652,True,,NOT_G2_CALIBRATED
r2,raw,40,500195.861678842,True,,NOT_G2_CALIBRATED
r2,raw,60,602330.4802906583,True,,NOT_G2_CALIBRATED
r2,raw,120,811091.3840855188,True,,NOT_G2_CALIBRATED
r2,raw,240,1036920.0518228578,True,,NOT_G2_CALIBRATED
r2,raw,480,1239914.616899559,True,,NOT_G2_CALIBRATED
r2,raw,600,1375506.7395631345,True,,NOT_G2_CALIBRATED
r2,adjusted,10,973783.1656115629,True,,NOT_G2_CALIBRATED
r2,adjusted,20,1613110.9383514293,True,,NOT_G2_CALIBRATED
r2,adjusted,40,2570261.937279322,True,,NOT_G2_CALIBRATED
r2,adjusted,60,3332054.5941382465,True,,NOT_G2_CALIBRATED
r2,adjusted,120,4618866.189953422,True,,NOT_G2_CALIBRATED
r2,adjusted,240,6008194.008004967,True,,NOT_G2_CALIBRATED
r2,adjusted,480,7928776.181024463,True,,NOT_G2_CALIBRATED
r2,adjusted,600,8296504.835356708,True,,NOT_G2_CALIBRATED
log_hl,raw,10,9271492.727595573,True,,G2_CALIBRATED
log_hl,raw,20,17028987.83777487,True,,G2_CALIBRATED
log_hl,raw,40,30404861.274591986,True,,G2_CALIBRATED
log_hl,raw,60,41774587.57267642,True,,G2_CALIBRATED
log_hl,raw,120,68431495.26640019,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,raw,240,102840665.41692507,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,raw,480,145407481.10071748,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,raw,600,159627548.23144156,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,adjusted,10,8079374.794622567,True,,G2_CALIBRATED
log_hl,adjusted,20,15007544.041468428,True,,G2_CALIBRATED
log_hl,adjusted,40,27498776.20398043,True,,G2_CALIBRATED
log_hl,adjusted,60,38744211.438151434,True,,G2_CALIBRATED
log_hl,adjusted,120,67386724.47546314,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,adjusted,240,112299900.30428472,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,adjusted,480,177613791.0657444,True,,DESCRIPTIVE_UNCALIBRATED
log_hl,adjusted,600,200582473.5410685,True,,DESCRIPTIVE_UNCALIBRATED
