config,group,n,std_z,q0.01,q0.05,q0.95,q0.99
ewma_60_raw,2019,7226,1.0517343615128607,-2.7891151440728787,-1.5316015768158195,1.52423116752142,2.6297233366626003
ewma_60_raw,2020,342648,1.0225220092920837,-2.7397367164389963,-1.569350507058619,1.5539920971808676,2.613834076520332
ewma_60_raw,2021,349039,1.029085880877131,-2.7711349509789516,-1.5615684876167437,1.5459871790705793,2.6153360898927436
ewma_60_raw,2022,349996,1.0724831217868251,-2.6630989665806517,-1.5668248343384006,1.545371885066423,2.6268678103007246
ewma_60_raw,2023,349636,1.0510580642300174,-2.67994656356116,-1.5763669704557564,1.5616342167266828,2.5992432408419033
ewma_60_raw,2024,352261,1.0472873960470293,-2.765279325487552,-1.592052523193093,1.5487881409445594,2.5342516279633513
ewma_60_raw,2025,163544,1.0633029817275044,-2.766877192261277,-1.5806716035620212,1.5369339090986518,2.586542203809343
ewma_60_clock_adjusted,2019,7226,1.0256363129541235,-2.676242721657683,-1.5770575833077705,1.5796374571227618,2.5911381284546398
ewma_60_clock_adjusted,2020,342648,1.0208186778442736,-2.6791464044780984,-1.5788768710680958,1.5692416770435555,2.540788010301729
ewma_60_clock_adjusted,2021,349039,1.0175142896408202,-2.6548906139628303,-1.5961687564885354,1.5784158819632237,2.5027232384150397
ewma_60_clock_adjusted,2022,349996,1.030229097893531,-2.543137571005821,-1.5804688553907034,1.5743729161795375,2.4991184374174242
ewma_60_clock_adjusted,2023,349636,1.0278757406673797,-2.5354586487313413,-1.5936008971569322,1.5800187588100265,2.4686478693707676
ewma_60_clock_adjusted,2024,352261,1.0253881503568743,-2.632788431546942,-1.6108579752302976,1.56624388183099,2.4356693614995053
ewma_60_clock_adjusted,2025,163544,1.0304155525946335,-2.6667674702847926,-1.6012269527336052,1.5527470371999648,2.4760208965778907
