series,config,theoretical_q,empirical_q
r_1m_raw,NA,-3.090232306167813,-6.555031581535813
r_1m_raw,NA,-2.747781385444993,-4.580105653648815
r_1m_raw,NA,-2.5758293035489,-3.8255406433456116
r_1m_raw,NA,-2.4572633902054375,-3.392301253503514
r_1m_raw,NA,-2.365618126864292,-3.0619743742811343
r_1m_raw,NA,-2.290367877855267,-2.8259019154885374
r_1m_raw,NA,-2.226211769317175,-2.6329867581518145
r_1m_raw,NA,-2.17009037758456,-2.467778659388702
r_1m_raw,NA,-2.1200716897421503,-2.331297373170858
r_1m_raw,NA,-2.0748547343933095,-2.214658610094615
r_1m_raw,NA,-2.0335201492530506,-2.1095266002677278
r_1m_raw,NA,-1.9953933101678247,-2.0171094402234573
r_1m_raw,NA,-1.9599639845400538,-1.934265262458759
r_1m_raw,NA,-1.9268365732639106,-1.8592837238788935
r_1m_raw,NA,-1.8956979239918383,-1.7936514565610884
r_1m_raw,NA,-1.8662957434581073,-1.7300205963804725
r_1m_raw,NA,-1.8384236692477767,-1.6720368714873768
r_1m_raw,NA,-1.8119106729525978,-1.6199605668180868
r_1m_raw,NA,-1.78661336549347,-1.5712582857960933
r_1m_raw,NA,-1.7624102978623895,-1.5261222388163813
r_1m_raw,NA,-1.7391976652852517,-1.4844911729174182
r_1m_raw,NA,-1.7168860184310404,-1.4443273742591345
r_1m_raw,NA,-1.6953977102721358,-1.4070302686861356
r_1m_raw,NA,-1.6746648890243252,-1.370767854993215
r_1m_raw,NA,-1.6546279023510773,-1.3370282403941012
r_1m_raw,NA,-1.63523401538865,-1.304679340561215
r_1m_raw,NA,-1.6164363711150214,-1.2754189667396723
r_1m_raw,NA,-1.5981931399228173,-1.2459180913589052
r_1m_raw,NA,-1.5804668183993618,-1.2176295592363695
r_1m_raw,NA,-1.563223646866276,-1.1905933931208679
r_1m_raw,NA,-1.5464331222567476,-1.1647712040830784
r_1m_raw,NA,-1.530067588137828,-1.140279007263368
r_1m_raw,NA,-1.5141018876192833,-1.116651366822045
r_1m_raw,NA,-1.4985130678799752,-1.0937169431120033
r_1m_raw,NA,-1.4832801273356204,-1.0721866302356533
r_1m_raw,NA,-1.4683837982456598,-1.049970491301105
r_1m_raw,NA,-1.4538063589405745,-1.0304304938721962
r_1m_raw,NA,-1.4395314709384557,-1.0115342145427748
r_1m_raw,NA,-1.4255440370804515,-0.9918637927963435
r_1m_raw,NA,-1.4118300775008081,-0.9735586524397865
r_1m_raw,NA,-1.398376620797495,-0.956370405082438
r_1m_raw,NA,-1.3851716082134353,-0.9402721615391303
r_1m_raw,NA,-1.3722038089987258,-0.923244502469965
