scope,decile,n_pos,n_neg,mean_pos,mean_neg,diff_neg_minus_pos,rel_diff,year,n,pooled_rel_diff,pooled_ci_lo,pooled_ci_hi,median_rel_diff,direction
GLOBAL,0.0,91486.0,91474.0,0.00016643212292794435,0.0001679672564783029,1.5351335503585616e-06,0.00918144055953624,,,,,,,
GLOBAL,1.0,92089.0,90871.0,0.0001797663148164218,0.00018086760292502471,1.1012881086029083e-06,0.006107636822021706,,,,,,,
GLOBAL,2.0,92429.0,90531.0,0.00018174173775035703,0.00018318505555974004,1.4433178093830104e-06,0.007910501815093637,,,,,,,
GLOBAL,3.0,92462.0,90498.0,0.0001873363909711425,0.00019177056157913363,4.434170607991132e-06,0.02339565329985885,,,,,,,
GLOBAL,4.0,93057.0,89903.0,0.00019891109732160997,0.0002038283828266939,4.917285505083937e-06,0.02442432860912457,,,,,,,
GLOBAL,5.0,93298.0,89662.0,0.00021168935060825525,0.00021786681792958476,6.177467321329507e-06,0.028770315886573566,,,,,,,
GLOBAL,6.0,93324.0,89636.0,0.00022953767856696632,0.00023780411270844426,8.26643414147794e-06,0.03538901390815867,,,,,,,
GLOBAL,7.0,92561.0,90399.0,0.00025779125721865127,0.00026743839628888273,9.647139070231457e-06,0.03674291167336477,,,,,,,
GLOBAL,8.0,92086.0,90874.0,0.0003096860607456966,0.00031854205278939845,8.855992043701848e-06,0.02819618837921914,,,,,,,
GLOBAL,9.0,90419.0,92541.0,0.0005304971806382948,0.000542969985856673,1.247280521837822e-05,0.023235223181375955,,,,,,,
YEAR,,,,,,,,2019.0,5950.0,0.013800567397742538,-0.03149176503654969,0.051857168775039535,-0.006238971814413616,POSITIVO_MAS_VOLATIL
YEAR,,,,,,,,2020.0,325699.0,0.030772567255781914,0.020899379468569526,0.04130701896380574,0.028035541388018843,NEGATIVO_MAS_VOLATIL
YEAR,,,,,,,,2021.0,330755.0,0.033599507637390835,0.026382318908021087,0.04145410022578694,0.022882574051949836,NEGATIVO_MAS_VOLATIL
YEAR,,,,,,,,2022.0,338603.0,0.004116650991166124,-0.0040807524535119285,0.010164827642550523,0.007054853233455746,NEGATIVO_MAS_VOLATIL
YEAR,,,,,,,,2023.0,332060.0,0.022281487221723132,0.016300562387038996,0.026775182377154393,0.019996024704606565,NEGATIVO_MAS_VOLATIL
YEAR,,,,,,,,2024.0,337412.0,0.048544331509494866,0.03948523572592338,0.058788901681756364,0.04430857057896628,NEGATIVO_MAS_VOLATIL
YEAR,,,,,,,,2025.0,159121.0,0.047569935302599856,0.03099960062650141,0.06947707180912935,0.031591209495061376,NEGATIVO_MAS_VOLATIL
