config,bloque,rho1_abs_z,q_abs_z_m,group,estimable,n,reason,dist,asymmetric,omega,omega_ci_lo,omega_ci_hi,alpha,alpha_ci_lo,alpha_ci_hi,beta,beta_ci_lo,beta_ci_hi,gamma,gamma_ci_lo,gamma_ci_hi,persistence,stationary,half_life,convergence_flag,loglikelihood,eps_selected,n_multistart_attempts_finite,converged_cleanly,n_multistart_attempts_total
garch11_primary_global,clock_adjusted,0.04714021550985869,5892.695785764588,,,,,,,,,,,,,,,,,,,,,,,,,,,
garch11_secondary_raw_global,raw,0.022010606849049732,172114.0410350379,,,,,,,,,,,,,,,,,,,,,,,,,,,
garch_by_year,,,,2019,False,7406.0,n=7406<20000 (MIN_N_FOR_GARCH_FIT),,,,,,,,,,,,,,,,,,,,,,,
garch_by_year,,0.06090667284907161,1554.3119087342907,2020,True,342648.0,,normal,False,2.474342669458463e-10,1.8781093949826248e-10,3.070575943934302e-10,0.04840284684846015,0.04520673142814688,0.05159896226877342,0.9515971531515397,0.9482765872592497,0.9549177190438297,,,,0.9999999999999999,False,,0.0,-936301.4431284348,1e-07,4.0,True,4.0
garch_by_year,,0.05565050111594373,1482.8396061077635,2021,True,349039.0,,normal,False,1.470454217538815e-10,1.1687872158779185e-10,1.7721212191997113e-10,0.04946457492316535,0.045872937252705824,0.05305621259362487,0.9505357707907063,0.947078739715715,0.9539928018656976,,,,1.0000003457138715,False,,0.0,-780825.5645705585,1e-05,4.0,True,4.0
garch_by_year,,0.041991081840877804,978.2656863976432,2022,True,349996.0,,normal,False,9.309170773767139e-10,7.337078695171638e-10,1.128126285236264e-09,0.05530196617880297,0.048697621972305684,0.06190631038530026,0.9438291645615121,0.9374709039758167,0.9501874251472076,,,,0.9991311307403151,True,797.4111203413652,0.0,-989479.7217226364,,4.0,True,4.0
garch_by_year,,0.03208200369917703,745.5695057001099,2023,True,349636.0,,normal,False,2.5887726571884043e-10,1.7664765110062104e-10,3.4110688033705985e-10,0.05489418016486054,0.04448717783709738,0.0653011824926237,0.9446184417048783,0.9351211418762814,0.9541157415334752,,,,0.9995126218697389,True,1421.8493022577788,0.0,-785317.079794983,1e-07,4.0,True,4.0
garch_by_year,,0.03340229260883318,914.1509104608684,2024,True,352261.0,,normal,False,2.325956936068884e-10,1.8484854835448347e-10,2.8034283885929335e-10,0.06360924463622661,0.05677806852935732,0.0704404207430959,0.9362406419143982,0.9299208429815811,0.9425604408472152,,,,0.9998498865506248,True,4617.142279961392,0.0,-759943.3579449393,,4.0,True,4.0
garch_by_year,,0.04355138770214685,437.7159400496492,2025,True,163544.0,,normal,False,4.909043744936151e-10,3.615122760893462e-10,6.20296472897884e-10,0.06132903449574981,0.053540159270587355,0.06911790972091227,0.9386739306476546,0.9315524060659934,0.9457954552293157,,,,1.0000029651434044,False,,0.0,-421610.5902325473,1e-06,4.0,True,4.0
garch_by_segment,,0.0575020774091704,792.9787537020684,00:00-02:00,True,168922.0,,normal,False,3.3689074038926024e-10,2.4960462785783837e-10,4.2417685292068205e-10,0.05808516126900497,0.05164364603759007,0.06452667650041986,0.941918351503682,0.9354595642565688,0.9483771387507951,,,,1.000003512772687,False,,0.0,-429815.83728042553,1e-06,4.0,True,4.0
garch_by_segment,,0.04143592310559199,,02:00-03:00,True,84663.0,,normal,False,4.250806884569203e-10,3.2187939649399554e-10,5.28281980419845e-10,0.07290989321230745,0.06464013238792143,0.08117965403669347,0.9270901170294018,0.9194404134312504,0.9347398206275532,,,,1.0000000102417093,False,,0.0,-210626.1126471073,1e-06,4.0,True,4.0
garch_by_segment,,0.04935880925528348,1681.199333659614,03:00-08:30,True,465442.0,,normal,False,1.2118341760249302e-10,1.0059979524560693e-10,1.4176703995937911e-10,0.03919488874148137,0.03680755560365389,0.041582221879308844,0.96080648084235,0.9584416234258525,0.9631713382588475,,,,1.0000013695838315,False,,0.0,-1132439.8853107402,1e-05,4.0,True,4.0
garch_by_segment,,0.04333268156618047,,08:30-09:30,True,84694.0,,normal,False,1.5401470319254305e-09,-5.158816376906281e-10,3.5961757015414885e-09,0.09797185236814118,0.05693599506179304,0.13900770967448933,0.9020281657390409,0.841249086220588,0.9628072452574937,,,,1.000000018107182,False,,0.0,-216316.53490189815,1e-05,4.0,True,4.0
garch_by_segment,,0.03280255506845449,765.4826063440452,09:30-16:02,True,537786.0,,normal,False,1.0922164630369607e-10,9.129153547487482e-11,1.2715175713251733e-10,0.04829924836570948,0.046340783063813264,0.050257713667605695,0.9517024149529033,0.9498083281032804,0.9535965018025262,,,,1.0000016633186128,False,,0.0,-1260152.7405361412,1e-07,4.0,True,4.0
garch_by_segment,,0.05046990373202233,818.5990841628254,16:02-20:00,True,237735.0,,normal,False,9.032198015651541e-10,6.863318977892653e-10,1.1201077053410428e-09,0.09331790010555555,0.0835984525774729,0.10303734763363818,0.9066822923995808,0.8969422723965467,0.9164223124026148,,,,1.0000001925051363,False,,0.0,-607370.3763748652,1e-06,4.0,True,4.0
garch_by_segment,,0.05909200212326617,1695.1921807233878,20:00-24:00,True,335288.0,,normal,False,2.120585898540567e-10,1.6955937873388818e-10,2.5455780097422517e-10,0.04825518263363793,0.044258816525750144,0.05225154874152571,0.9517448990140011,0.9477630348318976,0.9557267631961045,,,,1.0000000816476389,False,,0.0,-837246.8314865833,1e-06,4.0,True,4.0
